Sample	Heterozygous_Count	Total_Variant_Sites	Missing_Genotypes
SH2514	2148168	11041977	0
NF24	1501142	11041977	0
SH2515	1898450	11041977	0
VT27	1659580	11041977	0
GC30	2539751	11041977	0
DL2524	2074684	11041977	0
VT29	1652172	11041977	0
DL23523	2008714	11041977	0
WS04	1977843	11041977	0
WS05	1827157	11041977	0
BB10	2236906	11041977	0
VG21	2237728	11041977	0
CE29	2335307	11041977	0
CA14	2620188	11041977	0
NF30	1622702	11041977	0
MM27	2481494	11041977	0
FU14	2464717	11041977	0
BB13	1932125	11041977	0
