Sample	Total_Alternates	Total_Variants
SH2514	71492	94305
NF24	71989	93324
WB13	31666	96224
CW2212	42406	92692
SH2515	71956	94082
VR14	40421	93386
DN26	33311	93715
BU1031	44084	90734
VT27	71897	94984
CW2214	49005	95995
BU04	45569	92874
GC30	64726	90343
DL2524	69937	90815
VT29	67168	88872
DL23523	72803	93937
PZ29	36153	96082
LI04	20957	94935
WE2430	36427	96250
WS04	72569	94465
WE2431	36924	95536
WS05	72169	93403
BB10	68012	89423
VG21	69157	92574
CE29	72372	96322
CA14	64370	89953
FC11	21509	96435
NF30	70225	91247
MM27	66172	92245
MI21	34841	96932
FU14	65225	92166
BB13	67216	88518
WB20	28870	95169
