Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	4020	11230	137435	374158	383598	989152	22137210	57864288	11984404	31566348
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	3955	11084	135638	369044	376962	971430	21977408	57434596	11906708	31354772
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	3975	11092	134857	367520	375505	968150	21935278	57322548	11890838	31313982
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	4002	11194	136571	371752	380596	981132	21970251	57418212	11919153	31390154
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	4027	11254	137604	374638	383999	990188	22171922	57949838	12002026	31611308
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	3983	11108	135516	369204	378090	975170	21954289	57392450	11891539	31326292
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	4010	11208	136882	372650	381568	984180	21933676	57335768	11846765	31206100
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	3930	10998	135471	369348	377620	974436	21958730	57413364	11897696	31349188
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	4023	11252	137633	374766	384072	990452	22177072	57963102	12004948	31619332
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	3945	11058	134841	367478	374396	966642	22005856	57528192	11922839	31407954
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	3996	11202	136527	372572	381017	983792	22011893	57597436	11930089	31455390
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	4000	11124	136280	370650	379916	978960	21981532	57441292	11898453	31338206
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	3959	11120	136058	370746	380237	980638	21947906	57348484	11880443	31282202
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	3973	11038	136063	370204	379303	977192	21954012	57362696	11892022	31315330
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	4011	11222	136887	372894	381687	984742	21941661	57355972	11881637	31295970
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	3974	11128	136186	370898	380139	980654	21922793	57311588	11859744	31245612
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	3979	11130	136585	371692	380723	981852	21946710	57354918	11898275	31335476
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	4012	11224	137201	373574	382371	985858	21950466	57351784	11874171	31263526
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	3958	11020	135091	367802	378435	975006	21979696	57441534	11902037	31344740
18	native	11837	34252	395351	1130988	1115383	3004330	65299173	178635248	35329372	97423222
19	introduced	3951	11014	133058	361928	377630	973170	22096408	57728518	11963555	31498034
19	native	11854	34314	389477	1112904	1113778	2998448	65643914	179521932	35508806	97894692
20	introduced	3999	11180	136444	371526	381384	983748	21992668	57476200	11898200	31333776
20	native	12013	34808	399711	1142448	1124789	3030638	65349379	178738794	35325831	97389524
21	introduced	4022	11232	137057	372972	382321	985596	21949041	57343734	11847036	31191882
21	native	12067	34944	401503	1147094	1127626	3036450	65213740	178320238	35172032	96944752
22	introduced	4020	11208	136747	372308	381204	983122	21935555	57318854	11863895	31239804
22	native	12057	34888	400607	1145002	1124336	3028696	65179879	178240356	35220892	97091560
23	introduced	4019	11210	136864	372360	382102	985142	21950272	57343436	11860579	31219036
23	native	12057	34900	400906	1145166	1126704	3034962	65205552	178308972	35199000	97019920
24	introduced	3999	11170	136525	371536	380779	981792	21953930	57352970	11897304	31322514
24	native	12003	34760	399897	1142576	1122777	3024516	65219584	178344182	35313253	97347848
25	introduced	3995	11162	136369	371110	380346	981034	21936920	57326910	11870352	31260482
25	native	11996	34734	399340	1141248	1121855	3022078	65179929	178265400	35237122	97155278
26	introduced	4023	11218	136541	371976	381082	982960	21946236	57350956	11902335	31343428
26	native	12067	34902	399986	1143870	1124276	3028264	65208412	178341552	35333155	97415072
27	introduced	3994	11166	136691	372226	380617	981866	21950178	57361712	11891022	31317000
27	native	11979	34776	400473	1144764	1122742	3024818	65223467	178381902	35302849	97335626
28	introduced	3990	11130	136780	372368	380971	982690	22051182	57633514	11941926	31449016
28	native	11975	34636	400591	1145250	1123763	3027838	65522920	179235430	35454011	97748950
29	introduced	4004	11172	136048	370068	379727	978582	22028310	57554444	11942783	31447858
29	native	12025	34778	398441	1138194	1119864	3015454	65445235	178976442	35448426	97734532
2	introduced	4001	11194	136667	372678	381104	983876	21931488	57434758	11850271	31286860
2	native	12033	34852	400409	1146164	1123873	3031298	65185672	178608004	35195905	97241382
30	introduced	3985	11156	136111	370642	380145	979700	21956188	57368898	11895181	31325520
30	native	11977	34746	398865	1140010	1121135	3018284	65244795	178402776	35319162	97362532
31	introduced	3991	11172	136404	371358	381554	983780	21939391	57329880	11869933	31253298
31	native	11987	34796	399664	1142082	1125223	3030668	65178107	178255792	35233860	97123554
32	introduced	3966	11132	136794	372448	382027	985052	21950906	57358644	11850820	31200632
32	native	11945	34638	400581	1145174	1126626	3034580	65224223	178343110	35184393	96955900
33	introduced	4014	11206	136718	372404	381421	983802	21927586	57327286	11867731	31265182
33	native	12038	34874	400699	1145168	1124777	3030446	65170188	178244132	35239217	97158974
34	introduced	3985	11162	136325	371426	380405	981328	21920489	57304264	11851599	31222968
34	native	11980	34756	399359	1142204	1121710	3023224	65126210	178179920	35183476	97028380
35	introduced	4005	11200	137306	373748	382558	986348	21966962	57378268	11850655	31188282
35	native	12028	34842	402216	1149350	1128139	3038606	65249367	178408758	35165339	96916978
36	introduced	4024	11254	137579	374574	383847	989896	22085184	57694052	11923811	31379734
36	native	12080	35026	402949	1151928	1132025	3049656	65614140	179406494	35393355	97524582
37	introduced	4008	11208	136307	371196	380135	980370	21987047	57465568	11917080	31390932
37	native	12034	34870	399134	1141532	1120625	3020048	65324873	178696538	35377671	97562968
38	introduced	4007	11204	136996	372826	381708	984370	21944011	57334510	11882832	31288226
38	native	12029	34874	401189	1146510	1125797	3032560	65199211	178291218	35274979	97244142
39	introduced	3991	11196	136622	371942	381682	984200	21943053	57336174	11886248	31298328
39	native	11977	34830	400195	1143958	1125892	3032166	65203661	178302504	35292626	97277048
3	introduced	3998	11188	136867	372880	381905	985396	21944395	57433922	11874137	31323984
3	native	11994	34820	400822	1146530	1126332	3035668	65196298	178590224	35246017	97350086
40	introduced	4002	11202	136818	372458	381817	984252	21950801	57350998	11896800	31324332
40	native	12024	34882	400544	1145368	1125380	3031920	65203945	178331870	35310993	97349280
41	introduced	3983	11114	136213	370850	379964	979908	21932336	57315190	11882074	31291188
41	native	11930	34584	398972	1140446	1120799	3018694	65157685	178224888	35268977	97246916
42	introduced	3989	11154	136689	372052	380986	982444	21933605	57316806	11863901	31241422
42	native	11992	34716	400372	1144110	1123689	3026862	65167919	178242252	35219586	97100362
43	introduced	3995	11144	136618	371576	380933	981830	21954555	57369626	11877379	31278706
43	native	11990	34702	400161	1142812	1123659	3024714	65238132	178417634	35264075	97223190
44	introduced	4024	11246	137511	374444	383764	989598	22168407	57942406	11999945	31606576
44	native	12079	35006	402775	1151628	1131723	3048752	65864858	180181494	35622142	98231874
45	introduced	3989	11154	136325	371016	380749	981954	21987977	57441032	11903763	31333182
45	native	11973	34700	399363	1141066	1123052	3025078	65326559	178622590	35334817	97383682
46	introduced	4008	11194	136215	371020	380821	982054	21928045	57301486	11854602	31213432
46	native	12033	34834	399103	1140906	1122952	3025226	65148096	178188168	35190618	97011782
47	introduced	3986	11180	136578	371786	381435	983400	21948533	57344420	11891944	31313140
47	native	11981	34800	400060	1143246	1124930	3029594	65202476	178314250	35298829	97315232
48	introduced	3984	11106	136182	370794	379796	979088	21940508	57331732	11885516	31298714
48	native	11952	34580	398889	1140336	1120101	3016650	65178001	178281466	35275564	97274336
49	introduced	3999	11152	136373	371188	380366	980986	21938038	57332482	11888686	31308834
49	native	12016	34708	399213	1141426	1121422	3022114	65165477	178272778	35285636	97299778
4	introduced	3980	11122	135909	370974	379885	981124	21945453	57433020	11874677	31320510
4	native	11946	34602	397958	1140764	1120495	3022556	65197699	178585708	35246625	97335368
50	introduced	3994	11180	136878	372792	381316	983742	21935822	57339680	11859791	31239486
50	native	11984	34796	401061	1146510	1124729	3030562	65180037	178316866	35208902	97097538
51	introduced	4004	11190	136211	371026	379458	978560	21991084	57474810	11908524	31364228
51	native	12022	34832	399165	1141164	1119465	3015320	65343404	178744026	35352926	97486032
52	introduced	4027	11258	137656	374816	384082	990472	22178162	57965886	12005224	31619918
52	native	12089	35038	403208	1152692	1132709	3051440	65893407	180253590	35637567	98272728
53	introduced	3987	11108	136401	371440	380589	981202	21989315	57471650	11893171	31329174
53	native	11968	34590	399520	1142378	1122346	3023040	65334807	178727544	35308521	97375344
54	introduced	4001	11162	136656	372142	380742	981744	21934832	57331236	11876693	31283856
54	native	12001	34728	400233	1144368	1122467	3024268	65165053	178283202	35253669	97231428
55	introduced	4000	11196	136966	372798	382046	985144	21956099	57377636	11866587	31250312
55	native	12009	34844	401159	1146432	1126715	3035008	65235031	178422226	35228642	97124068
56	introduced	4001	11200	136536	371828	381511	984138	21939728	57349952	11861647	31245690
56	native	12020	34860	399904	1143552	1124996	3031624	65188944	178324484	35212429	97101056
57	introduced	4013	11196	136628	371884	381351	983002	21937595	57331858	11869463	31259676
57	native	12054	34850	400274	1143610	1124617	3028534	65188663	178283442	35240946	97154338
58	introduced	4007	11222	136926	373076	382149	985468	21959796	57373036	11849986	31195606
58	native	12031	34924	401084	1147316	1126928	3035876	65240428	178401036	35174522	96947936
59	introduced	3981	11118	136074	370226	381022	982100	22077150	57702040	11952805	31484976
59	native	11957	34608	398785	1138582	1123503	3025560	65590084	179428196	35481619	97851428
5	introduced	4002	11198	136960	373218	382091	985948	21948118	57434716	11881425	31335786
5	native	12021	34850	401156	1147766	1126691	3037360	65191845	178586438	35260767	97383088
60	introduced	3971	11074	135536	368976	377051	972164	22006864	57515828	11918769	31390100
60	native	11948	34488	397036	1134856	1112450	2995428	65389438	178866444	35381915	97562406
61	introduced	3972	11110	134936	367782	378305	975710	21936407	57340370	11876157	31283266
61	native	11903	34566	395319	1130790	1115633	3005878	65182135	178321494	35256186	97232562
62	introduced	3963	11092	135986	370294	378378	976320	21914611	57293478	11873996	31280474
62	native	11914	34522	398438	1139046	1116356	3008094	65135430	178175804	35260698	97225752
