Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	411.785417	373.718750	13084.710417	11314.427083	37866.627083	33512.135417	2291715.289586	2009748.681249	1246380.791665	1092539.183332
101	406.156250	368.656250	12923.733333	11165.008333	37246.402083	32929.443750	2275701.250003	1994962.074999	1238819.770832	1085437.129165
102	406.029167	367.270833	12845.914583	11122.281250	37010.341667	32792.958333	2269532.439586	1989593.731249	1236224.820832	1083267.737498
103	410.143750	371.843750	13009.062500	11237.137500	37573.591667	33246.925000	2273590.347919	1994269.597916	1239279.035416	1086384.160415
104	411.910417	374.027083	13103.520833	11326.454167	37914.493750	33545.177083	2295157.997919	2012379.864582	1248231.549999	1093967.341665
105	407.414583	366.522917	12908.818750	11149.552083	37325.439583	33021.022917	2272657.135419	1992568.602082	1236830.354165	1083922.512498
106	409.935417	371.852083	13029.031250	11263.097917	37653.333333	33327.483333	2268038.760419	1990761.202082	1230575.229166	1079877.604165
107	402.814583	365.189583	12876.116667	11172.700000	37264.337500	32998.095833	2272364.237502	1993120.812499	1237160.541666	1084604.549998
108	411.660417	373.777083	13107.000000	11329.383333	37918.156250	33549.847917	2295363.837503	2012560.962499	1248392.339582	1094107.147915
109	404.616667	369.391667	12876.256250	11130.272917	37052.725000	32782.033333	2278664.181252	1997654.764582	1240435.181249	1086980.647915
10	408.654167	371.912500	13003.079167	11256.404167	37614.966667	33274.466667	2278808.435419	1997658.427082	1240999.343749	1087481.410415
11	408.287500	370.129167	12976.931250	11212.114583	37511.672917	33181.806250	2275512.518752	1994964.385416	1237606.277082	1084618.752082
13	404.875000	366.066667	12948.543750	11188.085417	37425.468750	33079.160417	2272049.839586	1991565.122916	1236684.654166	1083521.620832
14	410.164583	372.131250	13044.962500	11279.004167	37707.531250	33359.914583	2272159.406252	1992271.081249	1236019.164582	1083355.631248
15	405.485417	369.685417	12963.283333	11221.566667	37536.589583	33225.664583	2270138.760419	1990421.685416	1233935.739582	1081444.039582
16	407.322917	371.022917	12998.745833	11232.245833	37562.268750	33259.160417	2270832.129169	1991835.295832	1237021.387499	1084607.679165
17	410.727083	373.493750	13068.650000	11296.441667	37724.802083	33392.585417	2270218.725002	1991054.624999	1233848.256249	1081704.747915
18	404.272917	363.206250	12863.645833	11093.737500	37384.985417	33008.810417	2275000.791669	1994044.766666	1237616.785416	1084413.335415
19	404.747917	366.939583	12677.083333	10942.500000	37310.489583	33026.672917	2287226.916669	2004724.533332	1244260.706249	1090073.989582
1	406.302083	372.052083	12974.593750	11222.168750	37500.156250	33212.356250	2274774.112502	1994152.095832	1236465.772916	1083315.589582
20	410.410417	372.527083	12991.856250	11238.089583	37676.418750	33345.002083	2276581.827086	1996608.785416	1237193.612499	1084670.587498
21	411.306250	373.139583	13043.145833	11277.620833	37721.591667	33389.833333	2270917.885419	1991192.085416	1231366.987499	1079472.495832
22	410.493750	371.910417	13021.447917	11261.881250	37637.468750	33311.110417	2269897.239586	1990792.814583	1233609.318749	1081304.402082
23	411.297917	372.597917	13031.604167	11264.937500	37726.872917	33374.839583	2272527.850002	1992057.474999	1233840.514582	1080901.247915
24	408.252083	370.552083	12993.250000	11231.466667	37589.429167	33248.895833	2272432.210419	1991886.118749	1237424.999999	1084189.316665
25	409.535417	372.568750	12995.360417	11225.502083	37547.991667	33234.150000	2270518.797919	1990840.047916	1234569.179166	1081896.462498
26	411.077083	372.277083	13001.631250	11244.847917	37617.710417	33312.510417	2271134.164586	1991438.006249	1237635.583332	1084597.266665
27	409.685417	370.468750	13016.295833	11262.212500	37567.187500	33255.787500	2271235.500002	1991420.099999	1236096.645832	1083300.995832
28	407.258333	369.633333	13025.060417	11250.293750	37592.525000	33268.433333	2282060.695836	2000827.254166	1241551.910416	1088150.977082
29	408.287500	371.445833	12944.652083	11178.893750	37486.843750	33151.485417	2279240.527086	1998118.343749	1241596.191666	1087895.158332
2	408.227083	372.085417	13008.600000	11249.558333	37638.531250	33286.022917	2269552.095836	1991243.154166	1232019.074999	1080739.758332
30	409.316667	372.100000	12956.597917	11207.897917	37509.887500	33184.087500	2271487.370836	1992204.487499	1236339.064582	1083943.322915
31	409.302083	371.777083	12977.041667	11227.266667	37658.720833	33320.587500	2270638.331252	1991085.022916	1234149.539582	1081727.106248
32	405.906250	370.956250	13020.091667	11251.516667	37710.191667	33369.391667	2271707.818752	1992933.052082	1232039.514582	1080522.397915
33	410.410417	371.193750	13014.606250	11275.047917	37657.927083	33334.793750	2269218.504169	1991989.787499	1234006.360416	1082597.660415
34	407.287500	371.429167	12998.168750	11245.035417	37582.235417	33245.493750	2269499.210419	1990527.710416	1232680.495832	1080972.779165
35	409.614583	372.464583	13074.741667	11305.591667	37779.627083	33431.302083	2273687.108336	1992968.449999	1232538.279166	1079735.179165
36	411.722917	373.839583	13099.037500	11321.495833	37893.320833	33530.487500	2285235.800003	2003540.949999	1239325.774999	1086038.624998
37	408.556250	372.256250	12997.260417	11226.118750	37549.231250	33194.206250	2276017.556252	1995753.564582	1239524.593749	1086520.835415
38	409.235417	371.768750	13042.279167	11269.137500	37675.931250	33344.206250	2270698.870836	1990989.337499	1235458.043749	1082710.485415
39	409.368750	371.635417	13011.268750	11244.302083	37661.045833	33348.895833	2269942.560419	1990682.885416	1235234.733332	1083105.299998
3	409.064583	370.889583	13019.650000	11252.916667	37686.947917	33350.406250	2271095.833336	1991033.391666	1234996.208332	1082111.341665
40	409.141667	372.416667	13029.508333	11248.825000	37695.850000	33307.266667	2271563.625002	1990811.858332	1236735.493749	1083600.293748
41	408.114583	370.081250	12979.302083	11215.085417	37518.881250	33223.397917	2270951.622919	1990826.206249	1235991.931249	1083077.997915
42	407.131250	370.547917	13014.450000	11249.983333	37616.677083	33280.027083	2270482.512502	1990452.895832	1233784.806249	1081240.364582
43	408.039583	369.056250	13002.116667	11239.700000	37581.316667	33272.700000	2271663.833336	1991957.849999	1234857.935416	1082419.018748
44	411.566667	373.558333	13099.235417	11319.377083	37896.104167	33525.520833	2294562.420836	2011878.212499	1247893.647916	1093670.089582
45	408.372917	371.172917	12978.866667	11217.600000	37588.885417	33283.243750	2275829.697919	1995302.447916	1237772.929166	1084625.579165
46	410.085417	372.543750	12957.243750	11215.102083	37577.420833	33248.695833	2269477.393752	1989850.152083	1232592.641666	1080268.224998
47	408.422917	371.906250	12998.489583	11239.614583	37650.364583	33314.406250	2272099.843752	1991776.018749	1236682.220832	1083855.754165
48	407.539583	368.606250	12958.662500	11198.387500	37485.506250	33163.206250	2271291.827086	1990733.568749	1236205.222916	1082878.181248
49	407.972917	371.706250	12992.675000	11214.766667	37573.510417	33223.177083	2271475.793752	1991015.435416	1236596.939582	1083619.506248
4	405.700000	368.825000	12949.925000	11189.558333	37491.804167	33191.312500	2271317.214586	1991261.064582	1234919.464582	1082152.889582
50	409.027083	371.093750	13027.720833	11273.512500	37642.462500	33325.029167	2270464.656252	1990875.164582	1233509.358332	1081077.341665
51	410.239583	372.847917	12973.708333	11221.933333	37472.758333	33167.408333	2276822.881252	1996192.264582	1238710.920832	1085580.604165
52	411.910417	374.027083	13108.166667	11330.916667	37918.906250	33551.097917	2295446.016669	2012637.758332	1248406.491666	1094119.991665
53	406.902083	368.385417	12999.316667	11237.058333	37581.956250	33245.656250	2276355.377086	1995778.018749	1237082.108332	1084322.283332
54	407.260417	370.477083	13013.779167	11250.145833	37589.185417	33239.610417	2270869.497919	1990438.656249	1235457.897916	1082423.247915
55	409.077083	372.152083	13038.943750	11269.527083	37706.675000	33369.925000	2272132.983336	1992519.799999	1233737.260416	1081546.260415
56	409.993750	372.485417	13010.664583	11242.214583	37679.741667	33339.633333	2270950.970836	1991904.495833	1233625.333332	1081459.299998
57	409.910417	372.543750	13000.216667	11245.200000	37621.341667	33284.925000	2269457.837502	1990525.520832	1233552.997916	1081520.414582
58	410.452083	372.802083	13052.847917	11283.672917	37730.647917	33386.789583	2271948.595836	1992056.329166	1231660.149999	1079550.066665
59	408.191667	371.050000	12930.377083	11190.127083	37610.627083	33267.627083	2285467.362503	2003956.979166	1243323.043749	1089791.452082
5	408.985417	371.852083	13038.293750	11269.535417	37721.343750	33361.943750	2272012.064586	1990856.581249	1235962.602082	1082547.902082
60	405.952083	369.935417	12915.931250	11165.581250	37236.925000	32972.808333	2278137.441669	1997435.691666	1239515.410416	1086232.643748
61	407.497917	368.764583	12844.400000	11114.875000	37373.277083	33067.993750	2271326.252086	1991649.952082	1235651.077082	1082935.293748
62	403.006250	367.956250	12957.493750	11204.543750	37377.139583	33098.397917	2268590.193752	1990700.718749	1234945.841666	1083112.958332
63	406.872917	371.522917	13000.945833	11232.570833	37603.193750	33277.052083	2272912.545836	1991880.012499	1234854.720832	1081654.770832
64	409.010417	371.243750	12991.200000	11236.066667	37511.737500	33192.712500	2271513.879169	1991933.295832	1235706.685416	1083237.685415
65	405.364583	367.764583	12946.497917	11186.222917	37492.852083	33159.860417	2274888.564586	1993701.631249	1239014.341666	1085329.566665
66	408.060417	371.560417	13066.135417	11293.402083	37804.093750	33451.135417	2289762.143753	2008133.918749	1245735.533332	1092055.699998
67	408.847917	371.956250	12979.045833	11222.670833	37600.666667	33249.650000	2275345.516669	1993825.899999	1235621.333332	1082015.183332
68	408.264583	371.464583	13008.166667	11235.691667	37594.085417	33256.993750	2270965.508336	1991272.224999	1234618.341666	1081810.208332
69	410.472917	371.489583	13031.818750	11281.010417	37728.018750	33382.152083	2271302.079169	1992562.662499	1233948.714582	1082181.289582
6	406.514583	370.114583	12909.050000	11148.066667	37461.633333	33159.650000	2270856.879169	1990494.020832	1238566.454166	1085141.095832
70	410.160417	372.943750	13010.450000	11250.733333	37661.475000	33328.425000	2270866.600002	1990932.274999	1231566.002082	1079156.093748
71	407.622917	371.689583	13023.060417	11270.960417	37649.995833	33306.304167	2270776.997919	1991235.222916	1236500.172916	1083709.089582
72	409.977083	372.252083	13039.058333	11277.175000	37705.433333	33370.583333	2284044.002086	2002626.418749	1242432.539582	1088805.881248
73	410.743750	372.027083	13030.450000	11262.950000	37627.110417	33299.393750	2274578.604169	1993554.762499	1236642.641666	1083167.824998
74	410.385417	371.252083	13039.622917	11262.072917	37680.737500	33303.562500	2272385.643752	1989790.793749	1235920.568749	1081792.252082
75	409.127083	372.735417	12996.297917	11250.989583	37609.056250	33279.514583	2271025.804169	1991482.995832	1235648.681249	1083006.689582
76	408.168750	370.293750	12965.068750	11201.785417	37451.975000	33136.950000	2269912.285419	1990352.327082	1237145.116666	1084404.949998
77	408.985417	372.235417	13005.085417	11239.077083	37535.289583	33212.514583	2271900.283336	1991774.291666	1236594.964582	1083680.222915
78	408.847917	370.797917	13031.687500	11262.054167	37731.325000	33390.841667	2290334.068753	2008155.810416	1246130.333332	1092097.591665
79	409.643750	371.710417	13016.647917	11248.064583	37626.670833	33308.854167	2273954.364586	1993157.489582	1235859.612499	1082716.787498
7	405.477083	368.510417	12969.720833	11202.570833	37548.256250	33186.039583	2271030.808336	1990697.858332	1235352.635416	1082452.768748
80	410.889583	373.239583	12989.552083	11236.835417	37593.658333	33272.541667	2270349.872919	1990777.681249	1234347.183332	1081748.083332
81	408.552083	371.268750	13007.804167	11238.070833	37664.287500	33317.112500	2272442.975002	1992433.758332	1233240.360416	1080808.893748
82	408.868750	371.952083	13043.852083	11284.693750	37723.331250	33372.989583	2270669.377086	1992198.785416	1232750.302082	1081242.243748
83	410.347917	373.297917	13048.770833	11278.170833	37772.420833	33413.920833	2283994.791669	2002770.174999	1241998.264582	1088501.056248
84	407.879167	368.220833	12901.187500	11132.704167	37378.606250	33038.097917	2275472.202086	1994013.768749	1238471.804166	1084905.095832
85	409.164583	370.181250	12975.141667	11221.641667	37626.093750	33293.452083	2270277.270836	1990729.837499	1236547.414582	1083596.947915
86	410.318750	370.202083	13031.818750	11269.668750	37669.000000	33352.100000	2269023.004169	1990819.362499	1235160.187499	1083183.162498
87	410.118750	371.235417	12985.258333	11224.283333	37554.464583	33211.264583	2272718.375002	1992504.008332	1237891.818749	1084689.643748
88	410.893750	372.827083	13096.162500	11324.295833	37885.781250	33525.339583	2290432.039586	2008129.039582	1245556.724999	1091501.041665
