Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	456.793750	182.152083	15333.258333	6409.133333	39788.625000	15701.991667	2270796.893749	899794.735416	1244540.566667	497518.249999
101	450.731250	180.939583	15138.191667	6312.508333	39091.222917	15413.964583	2253995.831249	892027.881250	1236131.733333	493295.941666
102	452.885417	180.060417	15082.860417	6292.385417	39016.283333	15380.808333	2251746.635416	892043.977083	1235622.589583	493775.039583
103	454.202083	183.460417	15229.364583	6362.047917	39487.814583	15569.881250	2253132.299999	891647.233333	1237371.260416	494217.693749
104	458.202083	183.460417	15357.631250	6421.606250	39855.597917	15726.597917	2275125.497916	901368.564583	1246867.252083	498301.660416
105	451.902083	179.893750	15100.035417	6319.568750	39197.106250	15484.131250	2250592.122916	892058.022916	1233910.185416	493870.627083
106	454.702083	182.377083	15284.520833	6386.895833	39640.627083	15642.052083	2251662.012499	891934.462500	1231694.962500	491961.729166
107	452.597917	177.847917	15140.312500	6338.095833	39209.966667	15476.266667	2253778.152083	893026.243750	1236479.068750	494087.285416
108	457.952083	183.210417	15361.658333	6422.891667	39860.468750	15729.568750	2275369.722916	901528.514583	1247090.504167	498413.095833
109	449.972917	180.972917	15056.560417	6315.810417	38871.195833	15380.529167	2258705.949999	895036.100000	1239054.239583	495226.447916
10	457.639583	182.564583	15295.091667	6394.141667	39627.800000	15637.033333	2262937.141666	896987.208333	1241348.429166	496291.712499
11	453.422917	181.414583	15179.679167	6351.512500	39328.604167	15527.554167	2253676.708333	892794.275000	1235371.752083	493690.752083
12	450.389583	181.664583	15150.895833	6355.520833	39440.637500	15582.012500	2250149.635416	891936.777083	1233693.147916	493097.639583
13	444.935417	180.910417	15178.831250	6351.789583	39338.952083	15555.568750	2252861.843749	892994.785416	1235444.377083	494139.277083
14	457.618750	182.918750	15284.358333	6395.075000	39661.287500	15647.937500	2253492.954166	893217.704166	1235152.875000	493874.874999
15	452.393750	182.535417	15193.460417	6364.035417	39494.483333	15577.833333	2250863.933333	892537.483333	1232664.591667	493161.416666
16	453.485417	181.560417	15241.191667	6376.233333	39511.206250	15598.047917	2251904.341666	892744.150000	1235919.454166	494273.729166
17	457.868750	183.093750	15307.437500	6405.504167	39674.577083	15676.227083	2250327.606249	891343.206250	1232287.312500	491953.645833
18	449.689583	178.231250	15082.325000	6282.341667	39206.220833	15434.720833	2253976.406249	891749.639583	1235856.572917	493054.672916
19	446.550000	179.025000	14781.316667	6101.800000	39103.033333	15301.500000	2264287.189583	895018.139583	1241398.414583	494952.856249
1	453.164583	182.089583	15243.964583	6394.997917	39472.877083	15629.260417	2257843.452083	896342.302083	1236962.316666	495445.949999
20	454.060417	182.068750	15215.372917	6366.397917	39572.477083	15610.685417	2254742.389583	893810.564583	1234946.966666	493803.024999
21	457.160417	183.168750	15289.764583	6392.597917	39689.793750	15654.410417	2249696.777083	891523.943750	1229042.787500	491639.512499
22	455.335417	183.460417	15269.202083	6386.443750	39598.618750	15629.452083	2251047.762499	892501.962500	1232827.491667	492794.483333
