Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	4221	11662	144121	383570	399328	1015148	23349837	60027320	12637095	32723026
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	4157	11512	142271	378426	392386	997334	23181443	59588356	12555373	32507136
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	4166	11514	141428	376818	390720	993536	23135319	59464354	12537157	32461032
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	4212	11626	143185	381028	396192	1006948	23178048	59564348	12570309	32540712
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	4224	11684	144286	384038	399747	1016218	23387433	60115670	12656063	32769484
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	4168	11534	142040	378372	393581	1000626	23160341	59537390	12540358	32475028
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	4205	11624	143538	382004	397204	1009916	23140353	59476982	12495045	32348788
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	4132	11418	142086	378522	393072	999878	23163014	59555214	12546493	32496886
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	4221	11680	144311	384178	399822	1016484	23391965	60129376	12658787	32777840
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	4149	11484	141431	376756	389996	992364	23212480	59682812	12572921	32561074
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	4200	11628	143216	381852	396605	1009434	23220719	59745384	12580864	32606066
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	4178	11546	142920	379980	395524	1004822	23185615	59593316	12547372	32489262
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	4150	11540	142636	380030	395827	1006460	23145159	59492732	12525319	32429046
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	4165	11458	142544	379478	394591	1002840	23151094	59506786	12537335	32462942
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	4208	11646	143557	382216	397387	1010604	23149590	59500474	12532497	32443560
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	4173	11550	142873	380180	395817	1006438	23129144	59455782	12507820	32391472
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	4185	11562	143230	381032	396394	1007594	23156058	59500528	12549618	32485168
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	4208	11650	143853	382972	398036	1011666	23152043	59489850	12520803	32405952
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	4138	11418	141577	377006	393847	1000770	23184501	59591782	12550355	32495056
18	native	11837	34252	395351	1130988	1115383	3004330	65299173	178635248	35329372	97423222
19	introduced	4133	11448	139640	370978	393227	998850	23308665	59888300	12616075	32653070
19	native	11854	34314	389477	1112904	1113778	2998448	65643914	179521932	35508806	97894692
1	introduced	4186	11592	142818	381132	395478	1007240	23179019	59666458	12537399	32510782
1	native	11967	34736	399014	1143458	1120222	3023662	65291075	178866406	35296621	97476288
20	introduced	4200	11606	143127	380804	396967	1009542	23196095	59624590	12545924	32482600
20	native	12013	34808	399711	1142448	1124789	3030638	65349379	178738794	35325831	97389524
21	introduced	4219	11658	143685	382344	398081	1011562	23148201	59485044	12490274	32334030
21	native	12067	34944	401503	1147094	1127626	3036450	65213740	178320238	35172032	96944752
22	introduced	4209	11636	143387	381648	396853	1008960	23140125	59463686	12512329	32386804
22	native	12057	34888	400607	1145002	1124336	3028696	65179879	178240356	35220892	97091560
23	introduced	4221	11644	143436	381732	397729	1010986	23150842	59490418	12505287	32364688
23	native	12057	34900	400906	1145166	1126704	3034962	65205552	178308972	35199000	97019920
24	introduced	4210	11600	143136	380892	396321	1007646	23153382	59499942	12542477	32472250
24	native	12003	34760	399897	1142576	1122777	3024516	65219584	178344182	35313253	97347848
25	introduced	4195	11586	143015	380432	396024	1006706	23136282	59469700	12515250	32406118
25	native	11996	34734	399340	1141248	1121855	3022078	65179929	178265400	35237122	97155278
26	introduced	4219	11644	143181	381286	396880	1008776	23151375	59494918	12552054	32492530
26	native	12067	34902	399986	1143870	1124276	3028264	65208412	178341552	35333155	97415072
27	introduced	4190	11598	143369	381556	396383	1007580	23158144	59505442	12541569	32464530
27	native	11979	34776	400473	1144764	1122742	3024818	65223467	178381902	35302849	97335626
28	introduced	4194	11552	143431	381760	396733	1008710	23260951	59791464	12593469	32603064
28	native	11975	34636	400591	1145250	1123763	3027838	65522920	179235430	35454011	97748950
29	introduced	4208	11600	142592	379362	395342	1004418	23234430	59702700	12591781	32597216
29	native	12025	34778	398441	1138194	1119864	3015454	65445235	178976442	35448426	97734532
2	introduced	4204	11626	143322	382038	396698	1009736	23142367	59582298	12502516	32433848
2	native	12033	34852	400409	1146164	1123873	3031298	65185672	178608004	35195905	97241382
30	introduced	4193	11602	142679	379946	395616	1005460	23160211	59514604	12543629	32474458
30	native	11977	34746	398865	1140010	1121135	3018284	65244795	178402776	35319162	97362532
31	introduced	4186	11608	143096	380724	397191	1009578	23144242	59469218	12518433	32397004
31	native	11987	34796	399664	1142082	1125223	3030668	65178107	178255792	35233860	97123554
32	introduced	4172	11560	143400	381752	397628	1010916	23152985	59501026	12496350	32343428
32	native	11945	34638	400581	1145174	1126626	3034580	65224223	178343110	35184393	96955900
33	introduced	4208	11636	143388	381724	396991	1009570	23130449	59464646	12514039	32408934
33	native	12038	34874	400699	1145168	1124777	3030446	65170188	178244132	35239217	97158974
34	introduced	4197	11588	142885	380752	395850	1007026	23115847	59439102	12494256	32362200
34	native	11980	34756	399359	1142204	1121710	3023224	65126210	178179920	35183476	97028380
35	introduced	4206	11620	143961	383096	398190	1012214	23163271	59515468	12490530	32324380
35	native	12028	34842	402216	1149350	1128139	3038606	65249367	178408758	35165339	96916978
36	introduced	4223	11684	144274	383994	399589	1015918	23295273	59849192	12573115	32528110
36	native	12080	35026	402949	1151928	1132025	3049656	65614140	179406494	35393355	97524582
37	introduced	4210	11636	142896	380480	395603	1006040	23191151	59613454	12566682	32542198
37	native	12034	34870	399134	1141532	1120625	3020048	65324873	178696538	35377671	97562968
38	introduced	4211	11638	143603	382156	397313	1010182	23141922	59476374	12527614	32434476
38	native	12029	34874	401189	1146510	1125797	3032560	65199211	178291218	35274979	97244142
39	introduced	4188	11620	143250	381306	397252	1010054	23145120	59478698	12533608	32445070
39	native	11977	34830	400195	1143958	1125892	3032166	65203661	178302504	35292626	97277048
3	introduced	4195	11618	143465	382226	397582	1011302	23144947	59579928	12519324	32471896
3	native	11994	34820	400822	1146530	1126332	3035668	65196298	178590224	35246017	97350086
40	introduced	4213	11632	143421	381806	397283	1010032	23149458	59493170	12544236	32471594
40	native	12024	34882	400544	1145368	1125380	3031920	65203945	178331870	35310993	97349280
41	introduced	4174	11536	142798	380182	395558	1005684	23133200	59459872	12529486	32438636
41	native	11930	34584	398972	1140446	1120799	3018694	65157685	178224888	35268977	97246916
42	introduced	4198	11590	143327	381394	396711	1008270	23140329	59460202	12513421	32386754
42	native	11992	34716	400372	1144110	1123689	3026862	65167919	178242252	35219586	97100362
43	introduced	4196	11570	143201	380886	396645	1007674	23163525	59520972	12528588	32429248
43	native	11990	34702	400161	1142812	1123659	3024714	65238132	178417634	35264075	97223190
44	introduced	4226	11678	144181	383882	399507	1015614	23383296	60108516	12653773	32765140
44	native	12079	35006	402775	1151628	1131723	3048752	65864858	180181494	35622142	98231874
45	introduced	4190	11578	142814	380336	396291	1007826	23186859	59587732	12548710	32481360
45	native	11973	34700	399363	1141066	1123052	3025078	65326559	178622590	35334817	97383682
46	introduced	4208	11618	142840	380290	396415	1007738	23132464	59443732	12502458	32357988
46	native	12033	34834	399103	1140906	1122952	3025226	65148096	178188168	35190618	97011782
47	introduced	4202	11610	143254	381068	397195	1009272	23154895	59489070	12541372	32461144
47	native	11981	34800	400060	1143246	1124930	3029594	65202476	178314250	35298829	97315232
48	introduced	4179	11536	142781	380134	395439	1004954	23143594	59479074	12532935	32448278
48	native	11952	34580	398889	1140336	1120101	3016650	65178001	178281466	35275564	97274336
49	introduced	4194	11574	142950	380490	395916	1006822	23128591	59474158	12530314	32455706
49	native	12016	34708	399213	1141426	1121422	3022114	65165477	178272778	35285636	97299778
4	introduced	4175	11544	142467	380332	395545	1006908	23144609	59578622	12519421	32467042
4	native	11946	34602	397958	1140764	1120495	3022556	65197699	178585708	35246625	97335368
50	introduced	4196	11616	143494	382136	396934	1009572	23136205	59485378	12505330	32385652
50	native	11984	34796	401061	1146510	1124729	3030562	65180037	178316866	35208902	97097538
51	introduced	4205	11618	142828	380378	395079	1004582	23193708	59628744	12555430	32515938
51	native	12022	34832	399165	1141164	1119465	3015320	65343404	178744026	35352926	97486032
52	introduced	4227	11688	144337	384226	399835	1016504	23393211	60132302	12659096	32778488
52	native	12089	35038	403208	1152692	1132709	3051440	65893407	180253590	35637567	98272728
53	introduced	4177	11540	143010	380868	396208	1007124	23193156	59622590	12540721	32478052
53	native	11968	34590	399520	1142378	1122346	3023040	65334807	178727544	35308521	97375344
54	introduced	4201	11586	143311	381456	396274	1007472	23138674	59473658	12525046	32430866
54	native	12001	34728	400233	1144368	1122467	3024268	65165053	178283202	35253669	97231428
55	introduced	4198	11624	143585	382144	397702	1011012	23158187	59522706	12512854	32395914
55	native	12009	34844	401159	1146432	1126715	3035008	65235031	178422226	35228642	97124068
56	introduced	4206	11630	143144	381172	397159	1009914	23143532	59489744	12508589	32387834
56	native	12020	34860	399904	1143552	1124996	3031624	65188944	178324484	35212429	97101056
57	introduced	4214	11626	143324	381216	397059	1008864	23147444	59475700	12520475	32406378
57	native	12054	34850	400274	1143610	1124617	3028534	65188663	178283442	35240946	97154338
58	introduced	4208	11650	143577	382396	397710	1011252	23162144	59512280	12494454	32334764
58	native	12031	34924	401084	1147316	1126928	3035876	65240428	178401036	35174522	96947936
59	introduced	4182	11540	142700	379482	396538	1007862	23285935	59855976	12603847	32637456
59	native	11957	34608	398785	1138582	1123503	3025560	65590084	179428196	35481619	97851428
5	introduced	4202	11626	143575	382590	397722	1011766	23145157	59579806	12525636	32483794
5	native	12021	34850	401156	1147766	1126691	3037360	65191845	178586438	35260767	97383088
60	introduced	4173	11500	142104	378224	392703	997756	23213961	59666332	12568044	32539716
60	native	11948	34488	397036	1134856	1112450	2995428	65389438	178866444	35381915	97562406
61	introduced	4164	11528	141551	377046	393760	1001398	23137569	59486680	12522674	32431274
61	native	11903	34566	395319	1130790	1115633	3005878	65182135	178321494	35256186	97232562
62	introduced	4153	11518	142438	379694	393631	1002038	23107869	59439162	12517234	32428962
62	native	11914	34522	398438	1139046	1116356	3008094	65135430	178175804	35260698	97225752
63	introduced	4200	11592	142972	380898	396398	1007794	23141677	59496536	12507386	32393038
63	native	12013	34748	399919	1142662	1123595	3025398	65215496	178348714	35227413	97117628
64	introduced	4188	11604	143012	380786	395386	1005552	23141733	59493748	12526389	32441526
64	native	11968	34786	399539	1142268	1120330	3018556	65200312	178339354	35274621	97260780
65	introduced	4167	11536	142909	379622	395615	1004294	23199267	59575974	12570171	32522580
65	native	11903	34584	398882	1138868	1120341	3014622	65335905	178595074	35379588	97510398
66	introduced	4191	11590	143862	382870	398734	1013098	23340462	59982042	12634567	32709290
66	native	11996	34738	401959	1148652	1129659	3041252	65750584	179807440	35570487	98067088
67	introduced	4205	11602	143203	380724	396761	1008198	23193151	59589256	12529634	32426768
67	native	12027	34794	400003	1142158	1123840	3026620	65331193	178630824	35274282	97220544
68	introduced	4201	11624	143211	381070	396478	1007930	23153617	59494512	12523168	32411742
68	native	12020	34826	399977	1143312	1123214	3025818	65217890	178346290	35255072	97176004
69	introduced	4198	11618	143614	382260	397726	1011110	23151722	59501588	12515115	32400212
69	native	12027	34836	401188	1146790	1126885	3035048	65213688	178355534	35232073	97133926
6	introduced	4162	11558	142028	379138	394815	1005702	23137566	59564630	12555673	32549248
6	native	11920	34652	396733	1137218	1118499	3019248	65168447	178550066	35344318	97583124
70	introduced	4212	11648	143414	381618	397198	1009684	23141031	59468212	12487784	32322450
70	native	12070	34918	400526	1144770	1125125	3030962	65167869	178251708	35144550	96897934
71	introduced	4179	11584	143496	381898	397055	1009044	23147512	59481620	12540099	32460204
71	native	11993	34744	400924	1145748	1125019	3029204	65208893	178311120	35307156	97323420
72	introduced	4205	11642	143635	382388	397750	1010998	23281560	59836966	12601171	32620734
72	native	12044	34910	401337	1147052	1126907	3035016	65583374	179372974	35474473	97802148
73	introduced	4210	11628	143538	381864	396845	1008724	23178709	59565210	12539564	32459978
73	native	12037	34862	400933	1145688	1124278	3028094	65285265	178553858	35299034	97318336
74	introduced	4201	11634	143647	382014	397123	1009682	23151795	59491170	12529447	32432342
74	native	12027	34884	401157	1146038	1124876	3030868	65208612	178331264	35269337	97233926
75	introduced	4204	11630	143253	381274	396863	1008482	23145251	59490378	12530660	32442722
75	native	12021	34856	400142	1143704	1124065	3027264	65196093	178327372	35275113	97264772
76	introduced	4169	11564	142653	379768	394905	1004104	23125557	59451976	12542189	32478226
76	native	11924	34678	398400	1139362	1118675	3013992	65141846	178209904	35311653	97372040
77	introduced	4196	11612	143260	381316	396085	1006526	23152239	59519088	12537235	32469446
77	native	12022	34812	400180	1143964	1121803	3021688	65218318	178417512	35298290	97347966
78	introduced	4190	11600	143514	381758	398004	1011416	23346176	60003186	12638444	32720096
78	native	11996	34784	400700	1145314	1127280	3036262	65758796	179869414	35578544	98099212
79	introduced	4183	11592	143353	381594	397039	1008914	23175743	59555302	12531266	32437200
79	native	11969	34728	400389	1144888	1124744	3028726	65276128	178535546	35274557	97258148
7	introduced	4151	11524	142779	380724	395753	1007132	23135758	59564008	12522299	32474628
7	native	11868	34560	398576	1142070	1120808	3023254	65157297	178545964	35246286	97359920
80	introduced	4214	11630	143180	380940	396583	1008080	23139726	59475768	12517434	32409792
80	native	12051	34864	400171	1142936	1123811	3026150	65187710	178289792	35240862	97170500
81	introduced	4202	11622	143214	381056	397152	1009630	23152303	59498188	12501171	32359636
81	native	12019	34842	399941	1143250	1125224	3031360	65193614	178350342	35177303	97014902
82	introduced	4207	11602	143789	382510	397959	1011296	23158314	59500946	12510828	32379130
82	native	12031	34786	401666	1147598	1127065	3035804	65225414	178362980	35216100	97077788
83	introduced	4207	11642	143658	382492	398345	1012414	23270129	59810916	12588586	32595110
83	native	12030	34894	401376	1147438	1128339	3039104	65551367	179287618	35441129	97720760
84	introduced	4151	11540	141958	377640	394279	1001594	23191721	59595756	12558801	32510316
84	native	11909	34594	396499	1133040	1116477	3006626	65315256	178650438	35351176	97470054
85	introduced	4190	11592	142656	380150	396769	1008708	23146613	59482844	12542812	32468902
85	native	11981	34762	398688	1140558	1124006	3027956	65197393	178302800	35307324	97341394
86	introduced	4208	11624	143613	382196	397390	1010400	23135453	59477538	12532078	32451882
86	native	12037	34844	401273	1146632	1126178	3033030	65181350	178283910	35285769	97290024
87	introduced	4210	11624	143017	380452	395916	1006054	23165682	59516714	12553460	32494916
87	native	12020	34858	399594	1141502	1121420	3020044	65257560	178411502	35345138	97425410
88	introduced	4218	11662	144213	383912	399493	1015580	23340629	59991972	12630621	32699510
88	native	12061	34956	402855	1151738	1131688	3048664	65745698	179831448	35557529	98035574
89	introduced	4187	11558	142870	380178	395249	1004624	23200852	59642020	12554123	32509318
89	native	11965	34658	399223	1140628	1119995	3015894	65355068	178782722	35344642	97465378
8	introduced	4179	11570	143324	381904	396924	1009918	23136188	59549658	12514144	32449586
8	native	11962	34674	400329	1145700	1124294	3031664	65160805	178506188	35224956	97286194
90	introduced	4158	11466	142551	379440	393508	999716	23140806	59478746	12548945	32489016
90	native	11866	34378	398502	1138390	1114929	3001222	65181772	178298934	35327389	97407578
91	introduced	4048	11118	139117	369242	390062	990320	23162784	59509054	12537314	32449022
91	native	11591	33352	387933	1107942	1104163	2973232	65225994	178385524	35284091	97283602
92	introduced	4109	11356	140843	374604	390513	992308	23206786	59639406	12562678	32518658
92	native	11725	34050	393400	1124032	1105895	2978430	65363008	178779092	35361903	97494716
93	introduced	4188	11552	142659	379602	394606	1002952	23159022	59519876	12552517	32495782
93	native	11987	34642	398220	1138876	1117348	3010698	65224498	178425022	35334063	97428892
94	introduced	4168	11568	142836	380338	394963	1004434	23144429	59492298	12532992	32451484
94	native	11927	34668	398940	1140884	1119096	3015122	65195413	178343988	35283641	97296640
95	introduced	4132	11428	141698	377190	392559	998476	23116419	59432068	12515069	32411464
95	native	11805	34240	395753	1131650	1112256	2997368	65108713	178160492	35230357	97175134
96	introduced	4187	11580	142934	380164	394548	1002494	23181077	59574940	12555731	32505882
96	native	11975	34702	399183	1140488	1117549	3009542	65299827	178590326	35347756	97458420
97	introduced	4088	11350	142353	378996	392993	998560	23128684	59432364	12543670	32467584
97	native	11670	34038	397522	1137032	1113014	2997696	65131528	178160750	35302992	97342824
98	introduced	4178	11552	142822	380116	394974	1004446	23118689	59425066	12495604	32353584
98	native	11947	34626	398914	1140396	1119099	3015246	65121832	178129546	35175964	96995768
99	introduced	4179	11578	143351	381236	396349	1007606	23153850	59503404	12517072	32402714
99	native	11967	34718	400355	1143788	1122483	3024690	65220079	178374756	35239864	97150110
9	introduced	4198	11616	143236	382060	396097	1008476	23146858	59582672	12512521	32450098
9	native	11999	34832	400131	1146094	1121951	3027320	65194462	178610606	35222519	97290528
