Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	431.422917	377.764583	13885.658333	11371.166667	39446.166667	33703.508333	2399224.075005	2034941.391666	1306636.004166	1106653.720832
101	425.327083	371.735417	13706.716667	11215.600000	38754.241667	33125.708333	2381723.787505	2019992.062499	1298404.197916	1099520.597915
102	426.289583	372.689583	13627.197917	11180.356250	38543.158333	33003.191667	2376020.697922	2014796.531249	1295904.347916	1097462.431248
103	430.797917	375.156250	13802.133333	11292.325000	39141.060417	33444.085417	2381235.829172	2019181.512499	1299616.610416	1100385.693748
104	431.022917	378.047917	13899.506250	11377.897917	39485.777083	33728.418750	2402517.187505	2037036.945832	1308405.033332	1107831.016665
105	424.941667	371.708333	13702.622917	11212.914583	38899.129167	33226.370833	2380104.910422	2017681.635415	1296882.531249	1098071.072915
106	428.964583	375.664583	13825.552083	11320.877083	39229.414583	33517.822917	2375920.520838	2015431.262499	1290960.847916	1093688.981248
107	424.395833	368.929167	13685.033333	11224.816667	38819.235417	33188.352083	2379813.466671	2018169.124999	1297390.524999	1098774.908332
108	431.522917	377.797917	13905.822917	11387.164583	39499.397917	33741.547917	2403124.866672	2037819.924999	1308786.685416	1108278.185415
109	423.833333	372.816667	13653.366667	11177.866667	38594.800000	32937.983333	2385175.022922	2022639.639582	1300245.235416	1101009.602082
10	429.493750	375.410417	13809.012500	11301.179167	39178.360417	33456.868750	2386191.125005	2022030.991666	1301182.647916	1101313.672915
11	425.697917	375.447917	13775.568750	11268.852083	39077.764583	33367.331250	2382309.312505	2020244.862499	1297677.931249	1098745.106248
12	425.022917	372.939583	13731.443750	11263.660417	39097.602083	33428.127083	2377095.931255	2016562.647916	1294595.833332	1096627.308332
13	423.989583	371.256250	13722.637500	11256.754167	38944.320833	33298.370833	2377915.308338	2017192.274999	1296210.677082	1097878.468748
14	430.172917	376.547917	13851.800000	11335.583333	39292.752083	33550.710417	2380130.258338	2017182.124999	1296623.091666	1097367.766665
15	426.195833	373.054167	13772.179167	11273.170833	39122.958333	33413.325000	2377819.058338	2015151.966666	1294240.647916	1095509.472915
16	427.606250	374.964583	13795.016667	11288.191667	39156.231250	33450.164583	2378797.416672	2016538.874999	1297488.062499	1098540.279165
17	430.193750	377.618750	13861.335417	11353.352083	39304.493750	33579.085417	2377271.893755	2016096.643749	1293833.324999	1095660.916665
18	421.187500	369.529167	13647.527083	11165.577083	38930.104167	33222.795833	2382165.135422	2019450.510416	1297680.404166	1098737.362498
19	421.275000	371.625000	13457.570833	10963.737500	38868.693750	33176.093750	2394454.295839	2029386.562499	1304361.341666	1103890.658332
1	427.543750	374.702083	13763.266667	11274.016667	39092.031250	33380.597917	2381425.010422	2019244.185416	1296111.204166	1097488.262498
20	430.168750	376.193750	13798.816667	11289.558333	39242.575000	33538.900000	2383449.260422	2021861.293749	1297107.929166	1098822.479165
21	430.372917	376.781250	13838.929167	11338.312500	39313.227083	33574.993750	2377302.435422	2016229.668749	1290801.664582	1093500.214582
22	428.752083	376.827083	13817.310417	11317.452083	39203.600000	33500.358333	2376899.729172	2015628.462499	1293506.197916	1095159.347915
23	431.035417	376.827083	13809.981250	11326.972917	39299.322917	33570.222917	2378851.502088	2017511.443749	1293405.049999	1095225.524998
24	430.593750	373.718750	13782.833333	11290.425000	39146.264583	33449.306250	2378546.818755	2017340.702082	1296723.233332	1098520.374998
25	429.097917	375.789583	13782.141667	11275.683333	39115.954167	33401.420833	2376258.366672	2015731.674999	1293807.985416	1095856.010415
26	430.085417	376.693750	13799.770833	11300.854167	39214.304167	33493.454167	2378043.200005	2016212.683332	1297574.152082	1098511.385415
27	428.202083	374.643750	13819.481250	11312.106250	39181.691667	33448.466667	2379126.358339	2016445.374999	1296516.083332	1097360.158332
28	428.010417	373.377083	13820.118750	11307.335417	39181.837500	33460.737500	2389089.204172	2025992.704166	1301555.095832	1102180.379165
29	429.285417	374.518750	13718.833333	11237.808333	39039.535417	33331.627083	2386342.472922	2023168.589582	1301630.864582	1102046.047915
2	428.422917	375.689583	13805.295833	11308.079167	39192.554167	33480.887500	2377475.706255	2015930.706249	1292677.820832	1094527.037498
30	429.064583	376.381250	13736.412500	11270.587500	39058.806250	33388.781250	2377877.627089	2017038.535416	1295998.504166	1097938.695832
31	427.460417	376.343750	13785.670833	11286.437500	39228.910417	33512.285417	2378017.145839	2015935.170832	1294359.645832	1095719.629165
32	425.618750	374.577083	13816.672917	11317.997917	39277.158333	33569.250000	2377704.025005	2017511.266666	1291133.947916	1094143.747915
33	429.439583	375.881250	13816.758333	11325.808333	39211.716667	33517.858333	2375605.981255	2016327.089582	1293415.856249	1096379.681248
34	429.460417	373.760417	13774.795833	11300.329167	39133.518750	33443.952083	2375135.435422	2015210.027082	1291867.089582	1094688.522915
35	429.977083	376.068750	13871.297917	11361.897917	39339.697917	33616.789583	2379639.414589	2018146.314582	1291641.393749	1093817.460415
36	431.522917	378.047917	13902.310417	11379.802083	39476.458333	33723.233333	2392757.235422	2028635.652082	1299487.112499	1100090.929165
37	429.897917	376.339583	13780.070833	11279.270833	39104.114583	33392.789583	2382681.991672	2020768.499999	1299497.845832	1100528.070832
38	429.710417	375.402083	13831.029167	11327.554167	39231.310417	33526.518750	2376343.229172	2015840.770832	1294634.574999	1096664.933332
39	428.756250	376.181250	13803.762500	11305.529167	39224.268750	33542.743750	2376643.225005	2015501.841666	1294972.845832	1096959.862498
3	428.460417	375.193750	13803.310417	11310.060417	39238.937500	33524.087500	2376573.335422	2015896.968749	1294090.010416	1096256.577082
40	431.006250	375.439583	13823.456250	11314.381250	39255.620833	33527.087500	2378653.733339	2017027.874999	1296924.289582	1098047.364582
41	426.964583	373.339583	13760.952083	11273.768750	39067.500000	33405.933333	2376570.975005	2015622.383332	1295335.099999	1096890.041665
42	428.152083	374.143750	13807.352083	11306.193750	39191.347917	33458.506250	2377482.795839	2015028.612499	1293801.441666	1094951.533332
43	427.277083	372.452083	13794.393750	11302.527083	39177.466667	33471.158333	2379236.522922	2017039.547916	1295253.752082	1096428.977082
44	431.647917	377.547917	13895.881250	11381.064583	39474.229167	33716.604167	2402353.947922	2037150.022915	1308297.395832	1107858.054165
45	428.247917	373.872917	13736.772917	11283.947917	39131.258333	33473.875000	2381210.072922	2020254.014582	1296888.835416	1098741.885415
46	430.047917	376.164583	13765.727083	11277.877083	39160.206250	33438.106250	2377046.766672	2014690.074999	1292939.208332	1094260.774998
47	430.293750	373.935417	13807.220833	11293.054167	39237.875000	33498.400000	2379633.925005	2016655.858332	1297033.543749	1097934.785415
48	426.685417	372.910417	13753.647917	11263.731250	39052.645833	33348.554167	2377584.318755	2015295.543749	1295530.512499	1096605.795832
