Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	8351	41270	283404	1348680	754097	3573094	43063620	214102568	23619992	116840682
100	native	4832	29984	164591	977708	435571	2590450	24936688	155066064	13702558	84628124
101	introduced	8246	40720	279557	1330870	739794	3510742	42725253	212547188	23448387	116076482
101	native	4780	29582	162230	964690	426980	2544914	24729589	153932762	13595529	84071154
102	introduced	8279	40738	278628	1325394	738776	3498702	42673759	212123986	23439034	115918376
102	native	4792	29594	161647	960680	426238	2536196	24700429	153630500	13592419	83958770
103	introduced	8314	41138	281244	1339916	748006	3544394	42719740	212470036	23487042	116197798
103	native	4816	29884	163331	971446	431908	2569772	24726302	153881138	13622885	84161542
104	introduced	8378	41348	283793	1350406	755091	3576880	43137557	214415038	23658623	117005048
104	native	4853	30040	164834	978972	436100	2593186	24976268	155292996	13723036	84747586
105	introduced	8278	40820	278982	1330616	741795	3522120	42681386	212336712	23428834	115945286
105	native	4794	29648	162110	964634	428919	2553508	24729487	153788692	13600595	83979878
106	introduced	8302	41138	282408	1343180	750848	3554786	42681836	212114512	23361424	115487250
106	native	4811	29888	164056	973730	433814	2577198	24719833	153627244	13553536	83649356
107	introduced	8212	40408	279842	1331240	743151	3519466	42740689	212430052	23463067	116036904
107	native	4732	29370	162421	965004	428876	2551384	24741523	153851804	13607922	84044074
108	introduced	8371	41334	283861	1350898	755219	3577794	43144976	214464022	23664012	117034708
108	native	4848	30032	164871	979328	436203	2593876	24981229	155328156	13726384	84768752
109	introduced	8235	40672	278298	1324844	736872	3492192	42822949	212843740	23506842	116249796
109	native	4785	29552	161784	960500	425881	2531692	24795204	154156202	13634596	84201198
10	introduced	8340	41158	282293	1342838	749849	3552956	42873883	213087798	23538128	116419144
10	native	4827	29902	163956	973486	433148	2575924	24829302	154332656	13655728	84323298
11	introduced	8281	40894	280293	1335894	745042	3536674	42732080	212541844	23444797	115998454
11	native	4785	29692	162900	968564	430788	2564050	24747791	153937012	13601363	84018262
12	introduced	8273	40838	280189	1336434	747709	3542566	42702893	212195446	23421580	115788468
12	native	4817	29678	163052	968826	432219	2568376	24738415	153684792	13589919	83866256
13	introduced	8195	40544	280624	1334440	745873	3529678	42712558	212235492	23448424	115906778
13	native	4770	29460	163092	967418	431014	2559134	24733080	153717550	13606397	83953712
14	introduced	8358	41216	282686	1343924	751533	3556968	42708891	212210582	23425296	115837272
14	native	4843	29946	164269	974274	434185	2578766	24734868	153699790	13591866	83903524
15	introduced	8267	40872	280426	1336968	747357	3542476	42643125	212061408	23367518	115656294
15	native	4800	29702	162847	969174	431496	2568302	24678425	153590704	13547249	83771876
16	introduced	8290	40890	281691	1339810	748932	3546316	42711876	212218244	23460965	115991256
16	native	4803	29712	163578	971306	432637	2571104	24734737	153702512	13609225	84012824
17	introduced	8365	41236	282831	1346540	751623	3560760	42658155	212180632	23380783	115708894
17	native	4841	29954	164310	976202	434241	2581578	24704172	153675468	13563018	83808774
18	introduced	8191	40442	278333	1325560	742220	3522696	42738676	212533182	23449978	116018104
18	native	4725	29386	161445	961000	428387	2553778	24745730	153930908	13602466	84032608
19	introduced	8162	40542	271856	1304326	738973	3516108	42921075	213597106	23548465	116582288
19	native	4726	29436	157576	945662	426191	2548862	24841817	154699702	13654050	84441408
1	introduced	8297	41014	281985	1340088	749014	3544918	42842301	212786474	23490772	116066494
1	native	4802	29796	163869	971484	432833	2570032	24812986	154113230	13630599	84068176
20	introduced	8303	41088	281164	1339144	749677	3553298	42739375	212665690	23425093	115981200
20	native	4811	29846	163274	970800	433018	2576168	24745900	154026638	13587348	84005834
21	introduced	8364	41252	282652	1344408	751983	3560296	42700627	212157974	23355294	115443202
21	native	4845	29970	164241	974630	434333	2581142	24726351	153660610	13549299	83617896
22	introduced	8342	41186	282044	1342090	750086	3551230	42674411	212104610	23376208	115646174
22	native	4844	29924	163865	972926	433347	2574586	24724273	153617034	13566348	83761374
