Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	4261	11584	142370	383342	398327	1015528	23230906	60010624	12575991	32721134
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	4208	11436	140521	378174	391227	997588	23059097	59569290	12493084	32504200
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	4214	11440	139774	376632	390116	993942	23019090	59447280	12477615	32459116
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	4245	11548	141429	380828	395216	1007256	23059159	59547364	12509421	32538468
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	4271	11608	142538	383842	398717	1016600	23266922	60099316	12594368	32767812
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	4225	11454	140326	378268	392581	1000996	23036805	59520788	12478091	32472822
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	4246	11546	141820	381794	396185	1010270	23024708	59457510	12436435	32345258
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	4169	11348	140422	378378	392188	1000198	23044777	59535490	12485424	32493172
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	4265	11604	142569	383974	398805	1016860	23272296	60113088	12597379	32776126
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	4196	11414	139826	376616	388861	992736	23092167	59663156	12511082	32557844
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	4236	11556	141503	381680	395595	1009912	23097626	59729852	12518138	32605030
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	4233	11472	141126	379742	394453	1005070	23066745	59574242	12485878	32485724
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	4193	11462	141084	379902	394856	1006810	23027609	59474906	12464215	32425974
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	4213	11372	140947	379272	393882	1003218	23043798	59495168	12481043	32464100
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	4250	11570	141766	382008	396355	1010970	23028020	59486142	12470354	32443242
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	4217	11476	141153	379978	394811	1006866	23008780	59438494	12447054	32389252
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	4220	11484	141482	380836	395186	1008018	23030030	59483414	12486611	32483228
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	4255	11574	142119	382772	397007	1012046	23032406	59475054	12458756	32404740
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	4167	11342	139825	376786	392700	1001154	23062459	59573722	12488280	32492028
18	native	11837	34252	395351	1130988	1115383	3004330	65299173	178635248	35329372	97423222
19	introduced	4190	11362	137793	370782	392181	999194	23186407	59868832	12553246	32649650
19	native	11854	34314	389477	1112904	1113778	2998448	65643914	179521932	35508806	97894692
1	introduced	4231	11514	141068	380924	394222	1007626	23056853	59649548	12474792	32508590
1	native	11967	34736	399014	1143458	1120222	3023662	65291075	178866406	35296621	97476288
20	introduced	4248	11530	141379	380626	396050	1009982	23077969	59611412	12485372	32482536
20	native	12013	34808	399711	1142448	1124789	3030638	65349379	178738794	35325831	97389524
21	introduced	4263	11582	141933	382168	396959	1011914	23030357	59471328	12429800	32333538
21	native	12067	34944	401503	1147094	1127626	3036450	65213740	178320238	35172032	96944752
22	introduced	4254	11564	141650	381464	395896	1009324	23021044	59445838	12450193	32383658
22	native	12057	34888	400607	1145002	1124336	3028696	65179879	178240356	35220892	97091560
23	introduced	4259	11566	141752	381550	396665	1011392	23027303	59470256	12441288	32361238
23	native	12057	34900	400906	1145166	1126704	3034962	65205552	178308972	35199000	97019920
24	introduced	4256	11534	141337	380650	395336	1008050	23027323	59484394	12478094	32470936
24	native	12003	34760	399897	1142576	1122777	3024516	65219584	178344182	35313253	97347848
