Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	438.358333	378.500000	13256.131250	11297.964583	38429.764583	33412.022917	2333636.031253	2016939.739582	1269823.768750	1095377.168749
101	433.325000	371.533333	13088.656250	11142.206250	37727.841667	32827.066667	2315875.135419	2001949.177082	1261539.127083	1088201.327082
102	434.183333	372.550000	13018.287500	11096.895833	37596.662500	32667.737500	2311311.045836	1996602.512498	1259478.114583	1086006.297915
103	436.312500	376.220833	13170.968750	11220.860417	38126.035417	33138.577083	2316121.864586	2001271.747915	1263077.927083	1089145.110415
104	438.975000	378.550000	13272.039583	11308.581250	38469.733333	33445.458333	2337027.064586	2019581.564582	1271700.685416	1096838.635415
105	435.512500	371.329167	13072.114583	11135.097917	37890.216667	32924.466667	2313682.566669	1999586.616665	1259887.343750	1086630.502082
106	436.166667	376.666667	13205.029167	11249.504167	38225.358333	33235.041667	2312218.491669	1997673.199998	1255328.302083	1082466.060415
107	430.312500	369.895833	13072.462500	11149.879167	37864.535417	32904.385417	2315462.922919	2000612.297915	1261133.754166	1087689.454165
108	438.725000	378.300000	13274.985417	11310.977083	38475.831250	33448.814583	2337246.795836	2019768.254165	1271859.975000	1096981.541665
109	432.316667	372.600000	13054.422917	11098.397917	37572.725000	32671.408333	2320019.272919	2004846.906248	1263685.368750	1089850.502082
10	435.070833	376.787500	13181.389583	11226.831250	38175.668750	33182.185417	2320492.614586	2004918.606248	1264322.837500	1090390.145832
11	434.704167	375.254167	13139.277083	11199.977083	38051.358333	33072.458333	2316637.100002	2001863.524998	1260839.787500	1087332.995832
12	431.102083	372.902083	13138.327083	11178.852083	38092.170833	33134.379167	2312226.572919	1998621.656249	1258094.508333	1085457.441665
13	432.816667	370.550000	13121.100000	11173.000000	37973.197917	32975.039583	2313790.229169	1998158.137499	1259950.687500	1086238.829165
14	436.812500	377.487500	13210.114583	11260.197917	38269.225000	33260.483333	2313863.875002	1999533.608332	1259526.700000	1086284.591665
15	432.579167	373.237500	13141.704167	11191.795833	38096.997917	33125.547917	2312127.997919	1997533.839582	1257497.710416	1084263.093749
16	432.925000	375.833333	13164.722917	11216.447917	38092.856250	33167.872917	2311914.087502	1998889.879165	1260340.860416	1087325.027082
17	437.687500	377.162500	13230.135417	11276.052083	38278.947917	33286.247917	2311542.056252	1998092.206249	1256964.345833	1084494.787499
18	425.550000	369.991667	13021.018750	11087.843750	37893.487500	32937.629167	2316026.472919	2001339.556248	1260743.277083	1087332.702082
19	430.629167	370.779167	12841.554167	10925.329167	37878.418750	32925.443750	2328754.075002	2011870.541665	1267564.397916	1092916.597915
1	434.883333	374.591667	13133.100000	11199.533333	38046.687500	33119.387500	2315569.025002	2001518.799998	1259290.527083	1086411.218749
20	438.058333	376.383333	13165.160417	11212.185417	38231.070833	33236.012500	2317443.058335	2003383.074998	1260172.829166	1087336.595832
21	437.975000	377.683333	13204.225000	11262.358333	38279.583333	33293.033333	2312054.168752	1998548.193749	1254292.956250	1082468.522915
22	435.429167	377.054167	13187.664583	11243.572917	38194.785417	33201.335417	2311729.545835	1997889.462499	1256807.458333	1084095.483332
23	437.512500	377.270833	13186.795833	11244.295833	38270.697917	33282.381250	2312448.650002	1999391.608332	1256052.479166	1083902.345832
24	436.375000	373.133333	13142.564583	11216.122917	38107.722917	33135.231250	2310788.841669	1998969.408332	1259131.004166	1087270.262499
25	436.425000	376.416667	13156.970833	11206.187500	38074.506250	33128.756250	2310992.043752	1997514.585415	1257255.364583	1084574.822915
26	436.891667	377.300000	13159.875000	11235.500000	38166.858333	33216.358333	2311799.493752	1998516.927082	1260329.870833	1087482.354165
27	434.572917	375.814583	13195.183333	11236.841667	38133.895833	33166.529167	2312934.872919	1998444.531249	1259325.468750	1086190.768749
