Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	5890	35888	200312	1169892	530596	3099730	30330966	185552966	16664941	101250982
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	5828	35412	197455	1154312	520327	3045368	30083390	184199882	16537757	100586152
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	5838	35432	196692	1149518	519181	3034854	30039617	183839740	16529450	100452618
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	5874	35768	198739	1162354	526123	3074950	30072503	184137496	16567340	100693864
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	5916	35956	200593	1171402	531244	3102996	30379150	185825078	16689905	101394168
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	5844	35490	197374	1154268	522575	3055564	30082035	184024498	16542477	100475114
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	5865	35772	199613	1165118	528370	3083848	30059165	183831496	16478680	100079900
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	5774	35152	197631	1154692	522357	3052992	30091542	184101964	16548204	100553278
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	5910	35946	200645	1171828	531371	3103830	30385633	185867164	16694237	101419516
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	5835	35378	196800	1149268	518577	3029530	30154933	184466342	16580554	100740952
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	5884	35790	199531	1164844	527622	3082378	30196930	184676532	16606598	100886844
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	5837	35542	198266	1158902	524783	3068114	30101779	184201428	16542451	100520990
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	5870	35524	198451	1159270	526571	3073314	30092555	183901062	16529774	100340140
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	5808	35256	198449	1157546	525022	3062192	30081780	183936970	16546440	100442670
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	5905	35842	199875	1165760	528873	3085692	30086184	183915960	16529271	100382818
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	5858	35548	198381	1159674	525865	3073224	30039603	183787276	16489361	100226388
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	5858	35566	199127	1162202	527189	3076594	30094628	183921842	16555899	100515244
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	5904	35854	199922	1168074	528898	3089094	30040532	183889114	16491112	100270586
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	5757	35172	196321	1149864	521631	3055896	30090971	184196480	16539685	100539816
