Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	4341	11848	142974	389518	399215	1031696	23466260	61282570	12694121	33406996
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	4271	11694	141137	384310	392194	1013480	23296593	60833892	12611642	33186382
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	4286	11698	140362	382728	390913	1009898	23252070	60712130	12594471	33141244
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	4324	11812	142056	386952	396108	1023324	23294062	60811288	12627123	33221852
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	4349	11872	143135	390014	399592	1032760	23502307	61373006	12712331	33454658
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	4287	11722	140919	384306	393535	1017026	23276433	60783322	12598273	33154582
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	4328	11818	142427	387918	397071	1026402	23258386	60717480	12552874	33022920
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	4238	11606	140999	384414	392981	1016046	23280620	60800086	12603701	33175308
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	4343	11868	143172	390146	399673	1033030	23507775	61386914	12715442	33463062
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	4272	11676	140357	382720	389969	1008644	23328505	60933882	12629498	33243582
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	4311	11818	141960	387806	396373	1025920	23324448	60995668	12632891	33288264
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	4316	11738	141692	385870	395337	1021142	23299826	60838124	12602581	33167198
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	4266	11724	141535	385974	395766	1022856	23263921	60738148	12583047	33106936
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	4296	11634	141524	385398	394627	1019188	23267930	60751542	12593358	33141716
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	4333	11834	142382	388156	397077	1027044	23251405	60742960	12582252	33121074
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	4297	11734	141709	386102	395664	1022804	23236503	60697270	12560178	33067612
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	4300	11744	142066	386948	396235	1023946	23265720	60744168	12603869	33164172
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	4332	11836	142682	388910	397930	1028102	23266227	60735366	12576673	33084600
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	4261	11612	140475	382844	393798	1017084	23298032	60837376	12606198	33173664
18	native	11837	34252	395351	1130988	1115383	3004330	65299173	178635248	35329372	97423222
19	introduced	4260	11634	138394	376788	393102	1015304	23421799	61141142	12670766	33335036
19	native	11854	34314	389477	1112904	1113778	2998448	65643914	179521932	35508806	97894692
1	introduced	4297	11776	141760	387074	395320	1023666	23296508	60915514	12595217	33191450
1	native	11967	34736	399014	1143458	1120222	3023662	65291075	178866406	35296621	97476288
20	introduced	4323	11794	141957	386730	397006	1026056	23315146	60873440	12604564	33162730
20	native	12013	34808	399711	1142448	1124789	3030638	65349379	178738794	35325831	97389524
21	introduced	4337	11844	142569	388282	397947	1027958	23266439	60731452	12549430	33011552
21	native	12067	34944	401503	1147094	1127626	3036450	65213740	178320238	35172032	96944752
