Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	431.018750	367.393750	12963.693750	11407.985417	37524.120833	33689.704167	2280460.535419	2029113.452082	1239591.143749	1102730.093749
101	423.731250	361.422917	12803.391667	11257.158333	36876.166667	33109.058333	2263734.702085	2014126.927081	1231697.941666	1095576.333332
102	425.272917	362.456250	12725.189583	11207.297917	36687.381250	32955.322917	2258073.366669	2008856.124998	1229258.252082	1093432.543748
103	429.222917	365.114583	12890.608333	11331.266667	37237.643750	33419.493750	2263294.245835	2013296.720831	1232838.056249	1096455.706248
104	431.368750	367.677083	12979.927083	11419.568750	37565.783333	33725.916667	2283703.595836	2031817.529165	1241330.718749	1104220.110415
105	424.825000	362.425000	12788.391667	11245.358333	36994.335417	33196.110417	2261765.635419	2011248.068748	1230178.589582	1093718.114582
106	428.335417	365.568750	12917.779167	11358.104167	37329.197917	33520.531250	2259550.479169	2009782.862498	1225380.629166	1089868.495832
107	420.960417	360.777083	12783.643750	11254.210417	36956.839583	33177.072917	2262669.264585	2012343.047915	1231102.393749	1094833.193748
108	431.118750	367.427083	12983.677083	11422.268750	37571.222917	33729.864583	2283931.835419	2032000.443748	1241501.872916	1104361.097915
109	424.402083	362.668750	12754.914583	11217.981250	36747.547917	32945.172917	2267195.160419	2017132.252081	1233522.131249	1097308.314582
10	427.531250	366.481250	12873.475000	11350.558333	37250.193750	33452.843750	2266056.229169	2017369.420832	1233646.554166	1097921.854165
11	427.275000	363.558333	12843.835417	11311.010417	37151.722917	33350.247917	2263760.916669	2014136.741665	1230724.556249	1094738.731248
12	422.952083	362.235417	12826.960417	11307.010417	37201.029167	33417.929167	2259703.189585	2010590.197915	1228269.043749	1092652.002082
13	425.872917	359.339583	12831.931250	11284.347917	37059.845833	33263.679167	2260025.820835	2011149.862498	1229381.677082	1093957.993748
14	430.081250	365.989583	12919.650000	11369.666667	37336.766667	33540.016667	2259393.191669	2011684.674998	1228637.827082	1093628.835415
15	425.954167	362.595833	12845.758333	11308.833333	37213.168750	33395.343750	2258557.031252	2009723.722915	1226970.652082	1091714.243748
16	426.243750	364.885417	12873.433333	11327.733333	37232.102083	33427.868750	2259647.979169	2010869.754165	1230249.085416	1094630.443748
17	430.235417	366.693750	12936.568750	11390.785417	37391.991667	33562.200000	2258839.604169	2010080.804165	1227007.181249	1091653.172915
18	421.554167	357.979167	12742.920833	11191.337500	37026.272917	33183.422917	2263382.404169	2013324.587498	1230681.170832	1094578.870832
19	421.585417	361.468750	12569.202083	11044.368750	36993.162500	33217.529167	2275573.441669	2024186.474998	1237249.964582	1100359.522915
1	426.114583	365.306250	12865.770833	11312.387500	37190.989583	33393.339583	2263877.389586	2013590.656248	1229754.631249	1093634.806248
20	429.889583	365.697917	12875.995833	11327.254167	37348.502083	33516.268750	2265742.943752	2015764.118748	1230699.804166	1094711.595832
21	429.602083	367.043750	12920.547917	11368.397917	37400.566667	33561.441667	2259744.843752	2010502.177082	1224832.570832	1089580.729165
22	429.264583	365.622917	12896.475000	11354.866667	37277.500000	33485.825000	2257495.366669	2009767.974998	1226017.906249	1091425.006248
23	430.577083	366.068750	12880.502083	11349.577083	37356.208333	33555.733333	2258448.547919	2011592.064582	1225401.814582	1091397.672915
24	429.239583	363.231250	12865.102083	11323.760417	37220.841667	33419.400000	2258589.497919	2011073.822915	1229156.729166	1094372.612498
25	428.364583	365.589583	12862.956250	11316.022917	37215.635417	33406.777083	2258751.600002	2009828.049998	1227312.041666	1092066.666665
26	429.170833	366.562500	12874.033333	11334.216667	37279.487500	33473.587500	2259701.525002	2010362.883332	1230760.656249	1094626.139582
27	428.752083	364.227083	12896.264583	11351.306250	37234.447917	33447.264583	2260279.641669	2010595.849998	1229374.366666	1093467.866665
28	427.291667	363.441667	12897.612500	11348.379167	37252.897917	33454.989583	2270665.681252	2020217.506248	1234719.920832	1098292.962498
29	427.608333	364.408333	12797.447917	11270.797917	37142.950000	33330.033333	2267563.931252	2017437.731248	1234666.024999	1098167.083332
