Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	4031	11572	140452	383178	391395	1012152	22835755	59837380	12364892	32597850
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	3976	11434	138642	378100	384473	994570	22668839	59402078	12283665	32383334
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	3977	11430	137895	376464	383298	990762	22627395	59278540	12268737	32338074
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	4013	11538	139485	380700	388422	1004018	22669541	59378474	12299663	32417650
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	4037	11596	140584	383666	391770	1013260	22869649	59925354	12382286	32644032
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	3974	11450	138484	378130	385721	997742	22649741	59353832	12270665	32353776
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	4020	11534	139878	381640	389304	1007008	22633893	59291010	12228124	32226538
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	3934	11324	138591	378144	385585	996850	22658089	59365754	12277912	32371438
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	4031	11592	140624	383804	391849	1013508	22874871	59938880	12385244	32652272
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	3965	11416	137772	376514	382019	989804	22699650	59500884	12301869	32440266
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	4006	11544	139518	381534	388670	1006554	22698018	59559102	12304865	32482102
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	4003	11466	139218	379636	387474	1001810	22675009	59403628	12275993	32364406
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	3966	11448	139012	379670	387945	1003560	22633184	59306958	12254167	32306306
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	3971	11368	139095	379134	386856	999840	22643918	59316860	12267955	32337628
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	4020	11562	139847	381828	389374	1007636	22625899	59308780	12256411	32317952
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	3997	11464	139203	379792	387981	1003478	22618812	59263892	12238559	32265430
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	3986	11470	139622	380726	388504	1004586	22643868	59309404	12279990	32359486
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	4024	11564	140191	382574	390124	1008698	22642753	59300812	12252732	32282000
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	3958	11350	137958	376634	386265	998012	22677936	59404992	12283149	32371826
18	native	11837	34252	395351	1130988	1115383	3004330	65299173	178635248	35329372	97423222
