Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	406.287500	395.720833	13077.387500	11513.737500	38132.602083	34329.602083	2306445.114585	2072032.331248	1256582.279166	1123091.987499
101	402.420833	390.420833	12907.093750	11359.685417	37429.362500	33755.662500	2289007.560418	2057032.427082	1248366.722916	1115954.181249
102	400.441667	390.850000	12851.939583	11320.106250	37297.933333	33582.808333	2284286.927085	2051469.527082	1246447.270833	1113601.970832
103	405.416667	394.616667	12993.708333	11451.716667	37858.541667	34066.341667	2289318.512502	2055923.295832	1249803.529166	1116834.087499
104	406.554167	396.420833	13090.510417	11529.027083	38171.714583	34368.722917	2309540.741668	2074894.916665	1258290.804166	1124615.037499
105	399.418750	391.577083	12904.529167	11352.854167	37603.533333	33846.275000	2287634.675001	2054705.524998	1247062.458333	1114412.583332
106	404.354167	393.645833	13013.529167	11457.312500	37916.820833	34146.720833	2284703.014585	2052225.281248	1241942.012499	1109891.820832
107	398.306250	387.681250	12910.416667	11355.775000	37607.497917	33779.531250	2289187.160418	2054877.327082	1248315.995833	1115108.695832
108	406.304167	396.170833	13092.793750	11530.010417	38175.956250	34370.847917	2309722.164585	2075057.022915	1258436.197916	1124753.564582
109	397.970833	391.545833	12833.908333	11317.900000	37237.293750	33589.518750	2291816.785418	2059551.277082	1250036.183333	1117374.883332
10	403.545833	394.554167	12986.297917	11441.222917	37858.562500	34085.912500	2291761.591668	2059957.999998	1250396.041666	1118094.749999
11	402.595833	392.687500	12962.377083	11415.643750	37743.260417	34010.035417	2289944.587501	2056899.954165	1247700.002083	1115089.360415
12	400.329167	390.420833	12922.793750	11396.410417	37763.739583	34034.039583	2284030.056251	2053124.914582	1244388.714583	1112837.181249
13	399.075000	389.350000	12951.827083	11383.435417	37656.722917	33896.122917	2286001.343751	2053459.460415	1246500.499999	1113964.333332
14	404.537500	394.254167	13030.027083	11477.002083	37943.343750	34167.727083	2285253.743751	2054381.793749	1245535.283333	1113699.158332
15	403.195833	389.895833	12961.237500	11415.604167	37824.129167	34027.712500	2285956.200001	2051959.258332	1244899.287499	1111781.570832
16	401.500000	393.950000	12992.589583	11428.539583	37843.025000	34067.700000	2286090.520835	2053149.729165	1247706.104166	1114563.762499
17	405.720833	395.487500	13053.414583	11495.056250	37997.539583	34205.681250	2285639.908335	2053045.991665	1244626.804166	1111943.362499
18	396.854167	387.412500	12854.218750	11308.085417	37659.891667	33825.625000	2290428.229168	2056012.112498	1248324.537499	1114742.945832
19	400.093750	389.035417	12671.422917	11152.722917	37602.579167	33849.845833	2301684.391668	2067304.924998	1254346.791666	1120759.758332
1	404.220833	392.470833	12965.725000	11414.966667	37789.160417	34011.968750	2289286.227085	2056191.052082	1246538.435416	1113758.902082
20	404.908333	394.525000	12993.481250	11441.364583	37960.937500	34162.720833	2292078.225002	2058655.358332	1247965.445833	1115032.270832
21	405.129167	395.129167	13026.618750	11479.560417	37981.931250	34192.814583	2283569.747918	2053030.614582	1240242.637500	1109682.495832
22	404.150000	394.566667	13009.310417	11455.877083	37889.745833	34105.787500	2283976.066668	2052254.899999	1243283.472916	1111502.406249
23	405.295833	395.345833	13021.189583	11456.472917	37999.322917	34195.497917	2286904.379168	2054068.162499	1243728.639583	1111347.031249
24	402.137500	393.187500	12974.647917	11439.097917	37830.762500	34077.679167	2286399.825001	2053729.024999	1247091.831249	1114600.006249
25	405.158333	393.691667	12972.735417	11425.343750	37810.237500	34026.429167	2284771.670835	2052029.820832	1244337.272916	1111852.297915
26	404.116667	395.066667	13000.868750	11443.827083	37908.447917	34113.789583	2286458.231251	2053058.622915	1248036.197916	1114889.064582
