Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	269.879167	297.612500	9427.562500	10292.120833	24391.222917	26397.364583	1388926.041667	1511819.283333	765269.329166	830861.170833
101	266.587500	294.087500	9280.154167	10135.612500	23941.402083	25836.843750	1378826.816666	1498165.599999	760186.972916	823891.997916
102	267.491667	294.041667	9272.858333	10096.825000	23926.610417	25799.652083	1377625.312500	1496678.370833	760017.183333	823967.208333
103	268.566667	298.150000	9360.014583	10207.464583	24185.462500	26167.554167	1378225.870833	1497821.212499	761108.068750	825528.102083
104	270.416667	299.050000	9443.087500	10304.895833	24428.108333	26427.608333	1391780.720833	1513973.729166	766790.118750	832008.502083
105	265.862500	295.395833	9286.610417	10155.235417	23985.972917	26044.989583	1376185.264583	1500016.489583	759207.139583	824948.572916
106	268.354167	297.404167	9388.127083	10253.252083	24279.560417	26287.085417	1377419.616667	1497716.541666	757432.093750	821260.202083
107	263.720833	292.095833	9312.956250	10152.964583	24045.658333	25998.791667	1378989.937500	1499856.329166	760343.985416	825063.002083
108	270.166667	298.800000	9444.452083	10308.268750	24430.358333	26434.958333	1391913.635417	1514352.643749	766905.312500	832259.937499
109	264.110417	295.235417	9265.364583	10102.606250	23824.545833	25775.387500	1381370.297916	1502195.589583	761683.804166	826159.545833
10	269.312500	297.529167	9390.345833	10256.295833	24248.716667	26261.266667	1383335.720833	1505439.362500	762917.162500	828175.529166
11	267.062500	296.262500	9327.152083	10198.027083	24104.379167	26121.537500	1378845.216667	1500873.258333	759773.908333	824990.308333
12	267.066667	296.966667	9302.633333	10217.066667	24169.010417	26218.885417	1377251.950000	1500208.450000	758962.706250	824230.947916
13	265.812500	292.979167	9333.589583	10200.214583	24130.433333	26126.716667	1377986.658333	1500085.650000	759672.170833	825399.312499
14	268.854167	298.779167	9407.693750	10266.693750	24302.683333	26315.733333	1377844.093750	1500436.160416	759356.277083	824541.502083
15	265.300000	296.483333	9329.187500	10211.045833	24167.577083	26194.610417	1375409.491667	1498420.691666	757194.177083	822891.043749
16	266.237500	296.187500	9369.970833	10232.362500	24199.747917	26228.164583	1376565.572917	1500140.072916	759777.358333	825431.841666
17	269.666667	298.716667	9413.993750	10272.810417	24324.200000	26318.500000	1376478.300000	1497665.541666	758008.070833	822299.287499
