Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	324.360417	231.485417	10796.772917	8148.706250	27580.093750	20505.768750	1600244.179166	1177645.454166	880905.945833	648907.987499
101	320.202083	230.093750	10642.304167	8030.754167	27007.043750	20158.718750	1586271.166666	1168946.974999	873769.243750	644459.802082
102	320.302083	228.993750	10605.654167	7998.329167	27024.539583	20063.681250	1586336.629167	1166119.137499	874285.147916	643408.039582
103	324.852083	230.827083	10714.750000	8083.833333	27363.858333	20320.950000	1587614.795833	1167062.570833	875918.891666	644896.374999
104	325.227083	232.752083	10811.050000	8163.658333	27615.847917	20539.264583	1602863.635416	1179837.943749	882284.464583	650063.247916
105	320.518750	229.443750	10633.537500	8039.362500	27104.170833	20232.045833	1584608.660416	1168629.960416	872935.052083	644526.585416
106	322.622917	231.314583	10759.956250	8123.747917	27474.008333	20432.416667	1586823.789583	1168439.122916	871898.529166	642458.529166
107	319.902083	226.418750	10683.310417	8026.102083	27240.000000	20161.400000	1589350.395833	1167783.812499	875423.985416	644117.435416
108	324.977083	232.502083	10813.675000	8164.991667	27620.372917	20542.889583	1603153.918750	1180036.485416	882482.277083	650213.052082
109	319.622917	229.889583	10596.295833	8016.437500	26951.204167	20079.504167	1590987.483333	1171120.916666	876615.122916	645748.122916
10	324.039583	232.647917	10758.460417	8132.243750	27443.366667	20430.833333	1593743.100000	1174070.674999	878048.747916	647415.572916
11	320.493750	230.085417	10682.283333	8079.825000	27219.772917	20315.581250	1587797.406250	1169547.914583	874352.631250	644412.439582
12	321.522917	231.064583	10667.031250	8080.947917	27342.510417	20353.802083	1585609.945833	1168482.087499	872877.643750	643902.827082
13	318.658333	228.466667	10690.308333	8076.416667	27294.479167	20293.479167	1588011.822916	1167611.847916	874766.475000	644074.408332
14	324.643750	232.210417	10765.981250	8130.147917	27480.908333	20440.975000	1586869.162500	1168659.637499	873674.300000	643975.758332
15	321.472917	230.547917	10681.897917	8083.756250	27333.241667	20342.741667	1584750.150000	1167085.841666	871814.558333	642570.458332
16	321.093750	229.935417	10722.570833	8105.679167	27387.422917	20376.222917	1586190.045833	1168726.479166	874374.822916	644725.481249
17	325.060417	232.052083	10774.008333	8139.025000	27483.491667	20462.158333	1584541.872916	1167437.047916	871727.489583	642593.631249
18	318.872917	225.681250	10619.010417	7972.393750	27172.527083	20134.910417	1587899.516666	1167555.374999	874284.787500	643672.979166
19	315.602083	226.510417	10310.085417	7817.818750	26956.789583	20076.881250	1593951.825000	1172979.108333	877771.972916	646487.372916
1	322.514583	230.706250	10754.558333	8121.825000	27405.164583	20393.939583	1592526.895833	1172634.195833	876510.370833	645935.887499
20	321.960417	231.235417	10706.668750	8087.910417	27407.068750	20388.360417	1588206.218750	1169491.893749	873879.854166	643737.070832
21	324.518750	232.293750	10760.558333	8135.541667	27494.589583	20456.081250	1587322.410416	1167428.260416	871685.345833	641420.237499
22	323.172917	232.564583	10742.250000	8120.725000	27429.260417	20417.460417	1585054.581250	1168277.731249	871623.591666	643044.449999
23	324.414583	231.772917	10752.495833	8122.970833	27470.922917	20456.364583	1586159.468750	1168252.560416	870992.989583	642349.364582
24	322.075000	231.908333	10716.841667	8104.791667	27387.118750	20391.393750	1586375.831250	1168789.406249	874018.200000	644407.074999
25	322.147917	232.056250	10668.685417	8098.877083	27313.556250	20377.431250	1584322.835416	1169120.668749	871839.733333	643914.424999
26	324.539583	231.881250	10747.725000	8109.791667	27424.989583	20396.039583	1587327.285416	1167189.602083	875269.708333	644256.941666
27	319.939583	230.906250	10722.593750	8114.710417	27323.300000	20366.075000	1583318.129166	1167739.937499	873009.760416	644140.660416
28	320.085417	231.585417	10725.920833	8124.820833	27400.754167	20390.787500	1592878.693750	1173627.368749	877075.845833	646787.470833
29	323.127083	230.668750	10681.877083	8037.343750	27296.622917	20225.872917	1591084.395833	1170097.345833	877701.239583	645842.097916
2	324.435417	231.252083	10775.768750	8134.360417	27489.100000	20415.700000	1592868.014583	1170131.089583	875816.052083	643773.493749
30	322.406250	230.381250	10684.520833	8073.962500	27244.627083	20351.077083	1584029.043750	1168705.485416	873672.318750	644606.843749
31	322.993750	229.927083	10729.722917	8072.981250	27459.160417	20390.310417	1586939.987500	1165871.262499	872988.572916	641857.247916
32	322.822917	229.847917	10762.637500	8117.795833	27476.339583	20436.739583	1586399.893750	1168109.160416	870694.287500	642007.929166
33	324.860417	232.752083	10747.027083	8112.527083	27426.666667	20405.200000	1585843.177083	1167189.402083	872933.302083	643099.860416
34	324.406250	229.431250	10733.962500	8098.362500	27404.833333	20389.958333	1584699.908333	1168721.858333	871191.483333	643300.441666
35	322.543750	232.218750	10761.191667	8148.533333	27460.956250	20478.339583	1581349.479166	1168193.054166	866317.868750	641414.052082
