Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	4281	11842	146494	389776	405334	1032882	23732451	61171008	12835258	33339812
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	4208	11684	144689	384558	398251	1014580	23563055	60723912	12753104	33120142
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	4224	11686	143825	382942	396525	1010958	23513488	60599714	12733087	33073674
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	4269	11806	145540	387234	402213	1024544	23559018	60702098	12767876	33156018
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	4289	11868	146665	390292	405768	1033972	23769949	61261300	12854254	33387370
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	4237	11710	144315	384572	399446	1018182	23537476	60673192	12736716	33087860
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	4263	11802	145893	388200	403208	1027592	23517606	60606948	12690015	32956664
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	4181	11590	144469	384746	398967	1017278	23542895	60689260	12743404	33108348
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	4284	11862	146692	390424	405843	1034236	23775176	61275320	12857294	33395844
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	4217	11666	143909	383010	395917	1009818	23594538	60822350	12770838	33176472
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	4257	11812	145570	388102	402630	1027144	23596979	60885348	12777204	33221424
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	4257	11732	145188	386136	401475	1022296	23568539	60730896	12745018	33103166
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	4224	11718	144989	386250	401795	1023982	23526176	60626598	12722022	33040200
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	4218	11626	144941	385670	400527	1020390	23530250	60639078	12733920	33073804
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	4280	11830	145894	388426	403302	1028224	23525559	60632358	12727105	33054510
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	4242	11734	145144	386358	401720	1023992	23505480	60586010	12703283	33000728
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	4241	11742	145568	387198	402245	1025166	23529927	60631442	12745093	33096260
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	4275	11830	146258	389208	404069	1029348	23531494	60623718	12717750	33017334
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	4218	11598	143900	383188	399814	1018408	23564580	60730300	12747248	33108876
18	native	11837	34252	395351	1130988	1115383	3004330	65299173	178635248	35329372	97423222
19	introduced	4203	11624	141868	377070	399231	1016274	23689075	61029282	12812881	33268398
