Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	431.712500	381.595833	13739.702083	11280.893750	38982.681250	33672.906250	2368390.195838	2031958.870832	1288602.466665	1105649.958332
101	425.095833	376.295833	13579.808333	11122.800000	38312.452083	33095.293750	2351641.375004	2016958.808332	1280720.087499	1098465.045832
102	426.281250	376.472917	13486.670833	11080.445833	38062.597917	32968.556250	2344862.312504	2011672.329165	1277721.404165	1096391.487498
103	430.870833	379.020833	13659.339583	11205.372917	38688.643750	33406.018750	2350589.785421	2016200.585415	1281564.147915	1099407.447915
104	431.787500	381.854167	13756.191667	11291.600000	39030.514583	33703.089583	2371802.960421	2034430.760415	1290428.602082	1107022.543748
105	427.291667	375.100000	13542.512500	11131.712500	38428.762500	33196.254167	2349011.587504	2014864.512499	1278870.272915	1097076.447915
106	428.937500	379.929167	13675.520833	11230.587500	38773.981250	33485.372917	2345487.491671	2012559.558332	1273183.152082	1092705.285415
107	423.122917	373.947917	13543.827083	11131.868750	38384.195833	33163.587500	2349619.806254	2015313.322915	1279694.510415	1097761.552082
108	432.037500	381.604167	13760.041667	11296.650000	39038.493750	33710.077083	2372160.779171	2034815.862499	1290674.666665	1107265.008332
109	425.741667	376.766667	13535.193750	11083.743750	38159.089583	32910.214583	2354997.606254	2019871.031249	1282457.043749	1100117.618748
10	429.297917	380.006250	13664.558333	11218.075000	38731.122917	33434.197917	2354877.639588	2019816.856249	1283043.947915	1100519.447915
11	428.289583	378.331250	13620.400000	11189.208333	38624.825000	33344.058333	2352081.054171	2017299.229165	1279802.972915	1097822.447915
12	426.547917	374.339583	13586.341667	11179.483333	38640.422917	33395.497917	2346679.881254	2013399.081249	1276716.339582	1095597.722915
13	424.125000	375.350000	13581.383333	11161.666667	38479.764583	33257.022917	2347092.487504	2014011.054165	1278191.991665	1096747.908332
14	431.479167	379.395833	13701.122917	11251.572917	38820.677083	33523.868750	2348850.875004	2014201.474999	1278177.577082	1096246.952082
15	427.439583	376.256250	13614.077083	11190.568750	38658.962500	33384.079167	2346859.914588	2012333.172915	1276242.239582	1094493.072915
16	426.479167	378.879167	13648.431250	11202.022917	38667.535417	33418.068750	2347178.370838	2013649.237499	1279246.195832	1097426.295832
17	431.729167	380.945833	13719.191667	11261.225000	38850.127083	33548.110417	2346502.252088	2013004.043749	1275966.535415	1094603.827082
18	425.341667	370.725000	13498.833333	11078.141667	38462.816667	33188.758333	2350997.147921	2016272.431249	1279522.883332	1097621.816665
19	423.512500	375.654167	13328.262500	10911.295833	38465.156250	33183.814583	2363780.008338	2026955.399999	1286438.847915	1103255.681248
1	428.158333	378.608333	13620.431250	11179.081250	38620.800000	33345.691667	2349541.770838	2016475.345832	1277555.410415	1096610.385415
20	430.641667	379.958333	13650.968750	11199.827083	38782.927083	33505.152083	2352621.181255	2018665.872915	1279083.087499	1097705.954165
21	431.337500	380.537500	13697.133333	11247.050000	38834.162500	33550.129167	2346650.381254	2013278.514582	1273021.472915	1092503.122915
22	430.058333	380.175000	13670.810417	11230.718750	38751.079167	33468.712500	2345821.716671	2012682.691665	1275346.327082	1094264.260415
23	431.987500	379.737500	13654.779167	11237.870833	38814.258333	33549.658333	2345885.195838	2014530.879165	1274011.214582	1094253.564582
24	428.412500	378.162500	13636.110417	11202.952083	38688.779167	33415.704167	2347831.993754	2014160.435415	1278869.920832	1097288.995832
25	429.154167	379.887500	13648.756250	11185.964583	38676.562500	33367.470833	2346460.197921	2012685.172915	1276284.595832	1094871.187498
26	431.193750	380.343750	13645.222917	11215.547917	38740.543750	33473.410417	2347203.150004	2013466.758332	1279611.760415	1097675.510415
27	428.856250	377.839583	13662.525000	11227.216667	38699.256250	33415.197917	2347467.564588	2013575.881249	1278084.758332	1096351.999998
28	426.100000	378.008333	13676.189583	11216.681250	38741.895833	33430.154167	2358708.864588	2023020.239582	1283728.122915	1101210.889582
29	429.420833	378.529167	13571.027083	11147.560417	38584.012500	33301.287500	2355520.943755	2020182.160415	1283549.445832	1101109.754165
2	429.633333	379.691667	13670.008333	11212.475000	38742.943750	33464.043750	2347130.458338	2013192.324999	1274902.977082	1093673.127082
30	430.266667	380.250000	13605.170833	11177.612500	38618.635417	33350.502083	2348159.400005	2014090.574999	1278620.831249	1096909.347915
31	427.695833	379.120833	13645.685417	11192.535417	38774.866667	33471.958333	2347585.106254	2013113.556249	1276556.535415	1094708.735415
32	426.920833	378.420833	13672.031250	11226.056250	38822.712500	33540.520833	2347429.591671	2014461.441665	1273486.902082	1093103.760415
33	430.454167	379.187500	13677.960417	11234.993750	38768.408333	33486.433333	2346045.227088	2013340.810415	1276085.514582	1095351.572915
34	430.122917	377.464583	13626.508333	11210.141667	38672.377083	33414.093750	2344490.970838	2012379.420832	1274073.945832	1093728.629165
35	430.758333	379.891667	13725.508333	11272.875000	38885.462500	33578.904167	2349509.114588	2015128.872915	1274238.402082	1092768.643748
36	432.037500	381.854167	13750.275000	11288.708333	39012.685417	33689.893750	2362090.150005	2025506.666665	1281643.668749	1098941.943748
37	429.933333	378.916667	13634.270833	11188.037500	38665.737500	33352.762500	2353165.235421	2017372.385415	1281960.189582	1099362.139582
38	428.462500	379.695833	13685.495833	11236.870833	38774.918750	33497.610417	2345662.912504	2012866.437499	1276752.187499	1095624.979165
39	429.225000	380.191667	13659.016667	11217.708333	38764.329167	33513.737500	2345467.577088	2012515.568749	1276889.087499	1095990.704165
3	429.004167	379.029167	13672.568750	11221.343750	38807.391667	33503.341667	2347639.260421	2013248.710415	1277078.764582	1095374.197915
40	430.945833	379.420833	13668.712500	11222.820833	38800.962500	33486.695833	2346812.843754	2013853.593749	1278437.154165	1096923.620832
41	426.312500	377.479167	13614.066667	11178.891667	38610.177083	33364.093750	2345370.318754	2012939.377082	1277107.331249	1096133.364582
42	428.991667	377.608333	13658.900000	11218.625000	38715.787500	33441.179167	2346325.747921	2012530.839582	1275649.222915	1094252.381248
43	428.262500	375.979167	13655.772917	11210.972917	38702.550000	33441.408333	2347884.885421	2014311.935415	1276777.049999	1095613.808332
44	432.162500	381.354167	13748.708333	11287.658333	39014.831250	33686.889583	2371317.225005	2034155.116665	1290146.562499	1106855.954165
45	428.337500	378.420833	13608.364583	11186.906250	38688.102083	33442.868750	2351319.368755	2017602.968749	1279284.579165	1097963.437498
46	430.254167	380.662500	13613.587500	11182.087500	38697.810417	33407.485417	2345833.366671	2011859.691665	1274689.329165	1093216.029165
47	430.020833	378.454167	13650.285417	11209.468750	38756.887500	33472.095833	2347685.272921	2013592.756249	1278579.318749	1096608.043748
48	426.487500	377.254167	13602.825000	11176.291667	38602.035417	33317.143750	2347431.518755	2012882.277082	1278141.116665	1096022.458332
49	429.191667	379.125000	13635.460417	11190.027083	38684.633333	33382.900000	2346757.960421	2013174.177082	1278085.449999	1096708.174998
4	426.400000	376.225000	13603.412500	11160.687500	38621.950000	33349.550000	2347147.835421	2013231.460415	1276536.004165	1095128.112498
50	430.108333	378.125000	13684.795833	11235.312500	38746.864583	33471.406250	2346288.439588	2013073.839582	1275205.768749	1094122.360415
51	430.395833	380.704167	13633.283333	11178.525000	38603.679167	33310.562500	2352845.227088	2018173.577082	1280466.474999	1098581.583332
52	432.287500	381.854167	13761.608333	11298.083333	39039.243750	33711.327083	2372251.297921	2034895.106249	1290693.089582	1107281.181248
53	426.533333	376.466667	13645.972917	11207.956250	38679.191667	33408.325000	2351991.375005	2018016.158332	1278690.295832	1097396.754165
54	431.004167	377.920833	13673.797917	11205.622917	38721.587500	33385.120833	2347121.016671	2011831.308332	1277370.883332	1095155.124998
55	428.975000	379.750000	13677.364583	11236.772917	38809.983333	33528.375000	2347103.783338	2014584.408332	1274961.672915	1094714.964582
56	430.414583	380.356250	13652.527083	11218.035417	38795.152083	33492.335417	2347414.670838	2013791.937499	1275560.872915	1094526.006248
57	430.091667	380.425000	13656.279167	11211.220833	38752.691667	33434.791667	2346364.862504	2012478.054165	1275854.560416	1094616.252082
58	430.629167	380.679167	13705.852083	11250.693750	38845.764583	33544.547917	2348528.735421	2014168.310415	1273729.918749	1092613.718748
59	429.079167	378.637500	13589.325000	11152.108333	38729.356250	33428.997917	2362431.985421	2026073.610415	1285735.395832	1102846.154165
5	429.595833	379.412500	13696.558333	11234.966667	38845.368750	33526.818750	2348205.910421	2012795.618749	1277888.512499	1095533.537498
60	427.020833	378.287500	13567.943750	11125.877083	38356.231250	33119.031250	2354792.233338	2019410.608332	1281687.356249	1099269.397915
61	427.516667	375.733333	13497.170833	11078.962500	38469.991667	33233.041667	2347049.033338	2013642.233332	1277310.499999	1095922.258332
62	422.437500	376.837500	13567.887500	11177.695833	38418.870833	33260.504167	2342074.854171	2012716.087499	1275566.502082	1096150.235415
63	428.816667	379.416667	13605.089583	11212.122917	38661.185417	33456.052083	2345355.308338	2014142.083332	1274459.560415	1094547.735415
64	428.650000	379.083333	13616.422917	11202.597917	38580.170833	33367.520833	2345567.868754	2013991.735415	1276448.593749	1096390.802082
65	425.020833	375.287500	13601.356250	11138.756250	38598.195833	33293.679167	2350921.618755	2015480.593749	1280988.345832	1098221.562498
66	427.995833	378.445833	13710.218750	11260.310417	38904.475000	33609.975000	2366130.341671	2030281.424999	1287847.331249	1105110.689582
67	429.620833	379.179167	13633.350000	11182.750000	38719.575000	33397.908333	2351193.925005	2015299.916665	1277157.629165	1094708.137498
68	429.175000	379.350000	13646.437500	11207.270833	38701.179167	33422.762500	2347530.997921	2013252.072915	1276605.043749	1094760.618748
69	429.370833	380.337500	13700.050000	11243.050000	38833.941667	33544.725000	2348685.387504	2014206.070832	1276718.943749	1094904.810415
6	426.258333	377.641667	13534.908333	11121.158333	38568.897917	33292.272917	2346119.110421	2012562.452082	1280176.266665	1098267.724998
70	430.870833	380.604167	13664.885417	11221.335417	38790.468750	33480.085417	2347695.712504	2012922.079165	1273876.381249	1092167.989582
71	427.004167	379.770833	13677.083333	11235.483333	38742.354167	33468.862500	2346796.829171	2013263.437499	1278305.481249	1096729.864582
72	429.762500	379.737500	13689.235417	11240.077083	38812.885417	33532.077083	2360626.416671	2024830.608332	1284634.672915	1102006.389582
73	429.058333	380.541667	13685.635417	11225.177083	38750.825000	33461.783333	2351323.564588	2016412.222915	1278697.418749	1096753.318748
74	430.437500	380.504167	13690.166667	11231.091667	38789.775000	33483.708333	2348406.468754	2013105.435415	1277847.341665	1095500.683332
75	430.158333	379.716667	13649.256250	11210.547917	38726.168750	33430.752083	2347016.958338	2013171.408332	1277322.685415	1095892.293748
76	428.662500	376.487500	13607.989583	11170.422917	38547.568750	33304.035417	2345470.227088	2012448.235415	1279005.674999	1097425.358332
77	429.154167	380.187500	13648.356250	11214.539583	38663.835417	33373.868750	2348291.810421	2014036.285415	1278698.474999	1096805.083332
78	428.443750	379.343750	13693.908333	11224.083333	38865.370833	33545.870833	2367165.493755	2030384.077082	1288375.293749	1105237.235415
79	429.475000	379.158333	13665.520833	11216.345833	38744.470833	33462.379167	2350382.012505	2016033.145832	1277928.839582	1096292.939582
7	427.210417	375.193750	13620.427083	11169.802083	38640.960417	33355.085417	2346324.635421	2012814.777082	1276944.172915	1095561.506248
80	431.558333	380.858333	13639.677083	11208.518750	38721.335417	33432.043750	2346657.581254	2012547.464582	1276240.649999	1094597.383332
81	428.995833	380.412500	13641.693750	11210.602083	38751.145833	33475.887500	2347732.829171	2014637.437499	1274394.327082	1093859.935415
82	428.779167	379.479167	13701.358333	11251.458333	38857.552083	33540.952083	2348333.589588	2013694.764582	1275545.454165	1093875.095832
83	431.412500	380.812500	13703.118750	11244.077083	38890.525000	33575.733333	2360747.606255	2024825.722915	1284376.127082	1101551.277082
84	424.589583	377.131250	13555.085417	11110.777083	38493.133333	33237.166667	2351966.529171	2016458.254165	1280551.860415	1098198.818748
85	429.529167	378.745833	13622.731250	11189.706250	38733.835417	33460.160417	2346351.512504	2012854.187499	1278389.985415	1096488.743748
86	429.608333	378.691667	13679.504167	11238.295833	38777.652083	33509.927083	2345263.710421	2012655.693749	1277220.133332	1096090.624998
87	429.975000	379.791667	13639.418750	11177.993750	38686.962500	33362.470833	2348312.410421	2014288.960415	1279651.206249	1097737.331248
88	430.100000	380.983333	13749.241667	11291.100000	39008.143750	33686.343750	2366977.704171	2030421.212499	1287724.714582	1104672.397915
89	428.008333	378.158333	13638.214583	11193.956250	38636.945833	33334.437500	2354459.825005	2018759.291665	1280913.933332	1098323.341665
8	426.108333	377.958333	13654.058333	11224.066667	38731.525000	33449.733333	2345339.487504	2012759.829165	1275519.408332	1094696.108332
90	421.835417	374.927083	13571.739583	11158.697917	38421.012500	33168.945833	2347175.902088	2013023.135415	1279736.858332	1097627.083332
91	411.843750	365.935417	13273.756250	10881.214583	38125.464583	32908.839583	2349921.406255	2015164.897915	1278916.308332	1096841.349998
92	419.279167	370.637500	13432.085417	11016.810417	38132.233333	32891.491667	2354565.252088	2019144.410415	1281665.889582	1099237.914582
93	429.825000	377.991667	13616.516667	11166.283333	38589.793750	33260.993750	2350737.620838	2015257.629165	1280664.310415	1098317.302082
94	427.750000	377.975000	13632.360417	11184.110417	38579.187500	33320.037500	2347527.287504	2013651.720832	1278069.568749	1096408.543748
95	421.216667	373.841667	13500.262500	11072.887500	38307.004167	33116.912500	2343618.687504	2011618.320832	1275619.214582	1095151.764582
96	427.716667	378.033333	13626.885417	11180.893750	38511.304167	33246.187500	2350512.987504	2016118.437499	1280137.399999	1098120.183332
97	419.160417	367.785417	13613.020833	11141.404167	38443.256250	33113.881250	2347326.314587	2009865.289582	1279639.224999	1096142.749998
98	427.362500	377.287500	13620.231250	11178.281250	38587.508333	33302.225000	2344783.691671	2010830.916665	1274284.674999	1092967.833332
99	428.341667	378.675000	13667.137500	11211.829167	38704.283333	33408.341667	2347523.279171	2013554.945832	1275970.622915	1094697.456248
9	428.495833	379.004167	13664.977083	11228.077083	38688.943750	33414.493750	2347293.608338	2013379.491665	1275622.318749	1094535.702082
