Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	304.655556	859.822222	10225.062847	28147.704514	25971.415208	79008.115208	1482829.213544	4703759.221895	817560.601319	2542508.042994
101	302.386111	845.852778	10078.378472	27779.370139	25483.983611	77666.350278	1470884.923961	4670204.015646	811424.175903	2526300.284244
102	302.771944	848.080278	10041.401250	27639.976250	25399.074444	77390.266111	1468380.359655	4660744.726341	810904.251042	2522518.951049
103	304.997222	856.580556	10143.322014	27965.213681	25742.739861	78391.948194	1470094.209030	4669782.509049	812656.410347	2528905.727022
104	306.255556	860.955556	10242.189514	28177.589514	26005.274792	79080.749792	1485196.541392	4710717.099742	818826.601319	2546065.951328
105	303.181944	848.556944	10086.128472	27746.553472	25588.922292	77882.622292	1471076.553822	4664357.478840	811778.424097	2522379.840772
106	303.012500	856.720833	10191.965903	28028.849236	25866.389375	78572.939375	1469374.413267	4661034.771618	808394.132014	2513847.990355
107	299.058333	840.108333	10084.314375	27757.247708	25562.715764	77759.049097	1470933.932086	4665080.040437	811836.107778	2523807.724452
108	306.005556	859.705556	10246.447847	28185.914514	26015.042847	79099.426181	1485665.862086	4711989.028770	819127.822153	2546761.155494
109	302.051389	845.968056	10050.059653	27610.592986	25382.251806	77070.826806	1474175.819794	4674674.144812	813372.236736	2528882.278411
10	305.663889	855.922222	10208.032292	27973.440625	25878.534097	78485.125764	1478797.618892	4677183.327243	815937.747569	2531099.022577
11	301.093611	853.701944	10110.667431	27900.267431	25665.641181	78245.366181	1471149.113753	4670247.522104	811432.236805	2523962.628480
12	304.525556	845.183889	10134.353194	27880.436528	25778.742431	78326.425764	1470929.400628	4661659.417313	810824.032222	2519570.190563
13	299.371528	847.446528	10127.689097	27850.580764	25687.971319	78072.979653	1470406.253891	4664084.662243	811694.734583	2522224.517924
14	305.779861	856.788194	10209.333958	28022.125625	25900.127569	78579.619236	1470852.760558	4661300.277244	810983.192639	2520692.367647
15	303.029167	849.512500	10131.834097	27913.659097	25739.320903	78307.004236	1468619.461044	4658227.344396	808995.399583	2516287.349591
16	303.880556	853.097222	10163.341875	27966.308542	25805.590694	78412.715694	1471135.830211	4663255.730230	812206.917639	2524481.292647
17	306.138889	857.772222	10215.072153	28107.330486	25892.114792	78757.331458	1468617.197641	4665254.080993	809001.735903	2519922.202577
18	297.226667	844.710000	10027.050556	27657.492222	25535.189653	77941.139653	1471259.473961	4670119.540646	811543.623125	2524988.439799
19	297.103750	845.212083	9807.408958	27309.550625	25422.628889	77901.553889	1477119.996391	4695785.421409	814674.043611	2538313.268619
1	304.263889	853.430556	10208.319097	27890.327431	25884.046181	78225.487847	1478416.683058	4668267.266410	814916.636736	2521836.636744
20	303.012500	854.462500	10146.260764	27952.119097	25833.284097	78556.350764	1471483.343266	4674081.343285	810634.803611	2525051.745286
21	305.512500	859.095833	10206.628125	28067.269792	25902.315903	78738.957569	1470765.096183	4662921.996202	808840.993958	2513082.602299
