Jackknife	Origin	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles	Intergenic_Alternate	Intergenic_Total
100	introduced	12435	423428	1172169	68503507	70111539	414848	1189368
100	native	12068	401728	1123366	65366489	66903651	396131	1189368
101	introduced	12245	418024	1151629	68009995	69591893	413106	1183704
101	native	11872	396415	1103707	64896853	66408847	394618	1183704
102	introduced	12282	415601	1147346	67881254	69456483	412549	1182336
102	native	11905	394448	1100153	64770122	66276628	393935	1182336
103	introduced	12394	420722	1163092	68000533	69596741	412667	1182960
103	native	12010	399032	1114549	64883457	66409048	394069	1182960
104	introduced	12452	423912	1173365	68610740	70220469	415450	1191060
104	native	12089	402152	1124439	65465555	67004235	396765	1191060
105	introduced	12294	417298	1155339	67945271	69530202	412014	1181184
105	native	11913	395757	1107027	64826666	66341363	393401	1181184
106	introduced	12390	421751	1165877	67893222	69493240	409140	1172304
106	native	12031	400086	1117364	64777868	66307349	390805	1172304
107	introduced	12134	417667	1154255	67967996	69552052	412422	1182324
107	native	11789	396287	1105663	64842860	66356599	393846	1182324
108	introduced	12437	424008	1173579	68625917	70235941	415511	1191264
108	native	12073	402256	1124640	65481095	67020064	396818	1191264
109	introduced	12226	415625	1144617	68107031	69679499	413371	1185060
109	native	11884	394237	1096790	64985372	66488283	394783	1185060
10	introduced	12365	420693	1164083	68109973	69707114	412852	1184784
10	native	12010	399172	1115527	64986193	66512902	394325	1184784
11	introduced	12345	419752	1160734	68022296	69615127	412186	1181832
11	native	11990	398214	1112332	64902803	66425339	393603	1181832
12	introduced	12234	419165	1162012	67908942	69502353	411275	1178424
12	native	11883	397905	1113877	64801692	66325357	392797	1178424
13	introduced	12285	419086	1158672	67927763	69517806	412073	1181340
13	native	11898	397652	1110459	64819158	66339167	393531	1181340
14	introduced	12407	421662	1166132	67891197	69491398	411000	1178436
14	native	12035	400024	1117508	64781877	66311444	392468	1178436
15	introduced	12312	419680	1161848	67846128	69439968	410949	1178112
15	native	11939	398213	1113252	64728329	66251733	392450	1178112
16	introduced	12316	420794	1163383	67921880	69518373	412090	1181436
16	native	11971	399179	1115071	64812364	66338585	393493	1181436
17	introduced	12410	422652	1168348	67920049	69523459	410133	1175892
17	native	12046	401008	1119698	64811220	66343972	391729	1175892
18	introduced	12222	416053	1156313	68025200	69609788	412529	1182360
18	native	11837	394479	1107481	64899306	66413103	393926	1182360
19	introduced	12195	409890	1154272	68390675	69967032	414453	1187856
19	native	11854	388597	1106005	65251160	66757616	395798	1187856
1	introduced	12312	419725	1160722	68000969	69593728	411161	1180368
