Jackknife	Origin	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles	Intergenic_Alternate	Intergenic_Total
100	introduced	16053	471689	1215361	84983684	86686787	273433	963468
100	native	15375	441225	1163628	81059054	82679282	260240	963468
101	introduced	15834	464532	1192505	84257511	85930382	271804	958176
101	native	15152	434137	1141627	80358822	81949738	258641	958176
102	introduced	15831	463026	1188836	84140697	85808390	271722	957612
102	native	15141	433214	1138607	80245389	81832351	258569	957612
103	introduced	15965	468438	1206275	84286536	85977214	271657	957780
103	native	15265	438049	1154854	80387973	81996141	258627	957780
104	introduced	16078	472245	1216603	85090237	86795163	273802	964764
104	native	15409	441672	1164700	81155259	82777040	260586	964764
105	introduced	15897	464759	1197995	84224082	85902733	271552	956856
105	native	15198	434529	1146668	80323656	81920051	258342	956856
106	introduced	15976	469917	1209232	84190036	85885161	269573	950412
106	native	15303	439496	1157664	80286748	81899211	256577	950412
107	introduced	15714	465063	1197676	84291705	85970158	272038	958548
107	native	15048	435036	1146234	80381655	81977973	258827	958548
108	introduced	16075	472398	1216854	85106195	86811522	273874	965052
108	native	15403	441831	1164954	81171212	82793400	260644	965052
109	introduced	15818	462890	1183812	84394800	86057320	272500	959964
109	native	15157	432873	1133328	80490220	82071578	259302	959964
10	introduced	15977	469035	1207584	84477140	86169736	272109	958836
10	native	15303	438618	1156029	80564388	82174338	258993	958836
11	introduced	15876	467572	1203509	84360433	86047390	271602	957396
11	native	15207	437380	1152213	80457620	82062420	258548	957396
12	introduced	15805	466905	1205203	84210408	85898321	271030	955656
12	native	15165	436963	1154202	80318648	81924978	258077	955656
13	introduced	15829	466981	1201402	84274338	85958550	271720	957444
13	native	15158	436911	1150284	80380150	81982503	258699	957444
14	introduced	16019	470457	1210290	84279710	85976476	271229	955524
14	native	15330	440036	1158741	80394257	82008364	258283	955524
15	introduced	15905	468038	1205697	84204319	85893959	270855	954636
15	native	15226	437854	1154101	80309284	81916465	257832	954636
16	introduced	15933	468952	1206576	84256824	85948285	271677	957420
16	native	15292	438509	1155402	80367967	81977170	258599	957420
17	introduced	16030	470947	1211419	84205237	85903633	270529	952824
17	native	15361	440564	1159769	80322632	81938326	257366	952824
18	introduced	15682	461835	1195818	84270573	85943908	271431	956664
18	native	14995	431415	1144089	80361289	81951788	258358	956664
19	introduced	15587	452551	1192921	84683919	86344978	272954	961680
19	native	14972	423101	1142037	80764199	82344309	259774	961680
1	introduced	15938	467637	1204249	84294479	85982303	270926	955140
1	native	15289	437351	1152737	80395519	82000896	258019	955140
20	introduced	16026	468642	1209634	84416208	86110510	271213	955884
20	native	15341	438192	1157918	80512248	82123699	258107	955884
21	introduced	16038	470269	1211437	84203131	85900875	269553	949980
21	native	15367	440060	1159792	80316782	81932001	256514	949980
22	introduced	16019	469816	1208400	84215008	85909243	270595	953448
22	native	15364	439609	1156963	80329681	81941617	257598	953448
23	introduced	16022	469744	1210905	84285291	85981962	270701	953772
23	native	15350	439499	1159232	80399602	82013683	257736	953772
24	introduced	15970	468749	1206962	84284285	85975966	271503	956868
24	native	15282	438613	1155506	80389358	81998759	258480	956868
25	introduced	15956	468174	1205789	84221161	85911080	270761	954708
25	native	15296	437887	1154349	80329889	81937421	257697	954708
26	introduced	16036	468834	1207768	84231547	85924185	271722	957336
26	native	15368	438641	1156563	80339789	81950361	258632	957336
27	introduced	15909	469353	1206078	84188806	85880146	271201	955368
27	native	15238	439016	1154727	80291724	81900705	258019	955368
28	introduced	15891	469224	1206026	84570310	86261451	272242	959220
28	native	15209	438768	1154446	80657162	82265585	259136	959220
29	introduced	15918	465820	1200996	84427812	86110546	272603	959856
29	native	15257	435796	1149661	80520484	82121198	259352	959856
2	introduced	15982	469231	1207879	84223110	85916202	270176	952584
2	native	15317	438832	1156700	80330794	81941643	257277	952584
30	introduced	15993	467410	1203992	84235956	85923351	271485	956520
30	native	15332	437270	1152699	80343465	81948766	258390	956520
31	introduced	15976	468528	1209179	84234978	85928661	270825	953736
31	native	15291	438258	1157695	80337301	81948545	257720	953736
32	introduced	15906	469624	1210748	84304192	86000470	270335	952464
32	native	15262	439059	1159096	80404514	82017931	257104	952464
33	introduced	16006	469781	1209421	84249129	85944337	270930	955176
33	native	15339	439554	1157919	80360883	81973695	257969	955176
34	introduced	15965	468274	1206146	84150866	85841251	270425	953160
34	native	15304	438229	1154857	80263594	81871984	257471	953160
35	introduced	15987	471120	1212115	84227966	85927188	269404	949056
35	native	15325	440714	1160447	80327942	81944428	256363	949056
36	introduced	16070	472094	1216162	84733154	86437480	271570	956364
36	native	15394	441507	1164345	80814579	82435825	258542	956364
37	introduced	15976	467985	1204424	84342116	86030501	271651	957768
37	native	15307	437647	1152844	80441457	82047255	258608	957768
38	introduced	16003	469967	1209186	84218148	85913304	271128	955152
38	native	15332	439523	1157685	80331187	81943727	257957	955152
39	introduced	15972	469002	1209588	84235337	85929899	271164	954780
39	native	15307	438663	1158097	80343917	81955984	258068	954780
3	introduced	15916	469698	1210028	84264865	85960507	271004	954612
3	native	15245	439325	1158483	80366162	81979215	257892	954612
40	introduced	15974	469500	1209420	84272567	85967461	271536	956376
40	native	15305	439071	1157635	80375812	81987823	258313	956376
41	introduced	15907	467972	1205176	84211240	85900295	271535	956220
41	native	15249	437827	1153949	80317352	81924377	258379	956220
42	introduced	15978	469328	1207367	84177441	85870114	270579	952992
42	native	15310	438990	1155992	80284337	81894629	257493	952992
43	introduced	15905	468782	1206643	84211287	85902617	270790	953928
43	native	15233	438430	1155345	80313125	81922133	257658	953928
44	introduced	16075	472009	1215916	85076968	86780968	273770	964632
44	native	15397	441501	1164098	81143696	82764692	260550	964632
45	introduced	15900	467885	1206413	84319284	86009482	271176	955632
45	native	15243	437803	1155096	80428657	82036799	258117	955632
46	introduced	16007	467565	1206267	84140820	85830659	270143	951900
46	native	15336	437371	1154918	80249830	81857455	257082	951900
47	introduced	15957	468995	1208992	84276097	85970041	271631	956244
47	native	15282	438716	1157480	80386157	81997635	258552	956244
48	introduced	15925	467417	1204065	84256901	85944308	271615	957036
48	native	15240	437179	1152659	80356055	81961133	258559	957036
49	introduced	15934	468270	1205963	84233801	85923968	271502	956520
49	native	15277	437867	1154251	80336358	81943753	258350	956520
4	introduced	15908	467346	1204867	84268168	85956289	271037	955320
4	native	15249	437080	1153424	80372557	81978310	257941	955320
50	introduced	15953	469915	1208719	84190489	85885076	270400	952704
50	native	15296	439542	1157049	80296742	81908629	257341	952704
51	introduced	16025	467489	1201762	84327492	86012768	271692	957624
51	native	15365	437111	1150417	80422191	82025084	258581	957624
52	introduced	16081	472441	1216879	85109123	86814524	273871	965040
52	native	15409	441877	1164984	81173938	82796208	260643	965040
53	introduced	15887	467649	1204599	84308669	85996804	270931	955032
53	native	15231	437310	1153018	80404067	82009626	257692	955032
54	introduced	15958	469374	1206381	84179004	85870717	270968	954948
54	native	15295	438874	1154633	80274998	81883800	257818	954948
55	introduced	15984	470199	1210735	84292159	85989077	270620	953892
55	native	15324	439816	1159209	80404415	82018764	257615	953892
56	introduced	15995	469083	1209747	84271329	85966154	270485	953112
56	native	15318	438771	1158040	80383103	81995232	257425	953112
57	introduced	16034	468733	1207915	84193926	85886608	270755	954036
57	native	15363	438452	1156291	80304847	81914953	257757	954036
58	introduced	15996	470220	1210844	84192288	85889348	269369	948840
58	native	15329	439772	1159362	80300232	81914695	256320	948840
59	introduced	15892	465998	1205875	84740230	86427995	272804	961500
59	native	15243	436018	1154636	80819703	82425600	259650	961500
5	introduced	15997	470203	1210864	84276702	85973766	271156	955116
5	native	15322	439869	1159220	80374314	81988725	257982	955116
60	introduced	15776	464407	1192636	84361558	86034377	271866	958356
60	native	15143	434281	1142062	80459540	82051026	258794	958356
61	introduced	15883	462714	1198892	84190374	85867863	271115	955824
61	native	15185	432680	1147682	80304139	81899686	258121	955824
62	introduced	15873	467567	1199858	84182100	85865398	271341	956424
62	native	15233	437396	1149257	80309541	81911427	258203	956424
63	introduced	15950	468659	1207424	84305472	85997505	270718	953736
63	native	15296	438326	1156106	80403278	82013006	257705	953736
64	introduced	15965	468487	1204225	84263946	85952623	270995	955008
64	native	15294	438272	1152809	80369305	81975680	257866	955008
65	introduced	15868	467381	1203872	84400042	86087163	272160	958692
65	native	15199	436962	1152634	80504500	82109295	259030	958692
66	introduced	15969	470934	1213313	84922395	86622611	273363	963204
66	native	15297	440520	1161682	81000220	82617719	260159	963204
67	introduced	16007	468355	1207342	84326197	86017901	270571	953136
67	native	15335	438295	1155647	80424515	82033792	257499	953136
68	introduced	15990	468819	1206899	84203492	85895200	270597	953592
68	native	15309	438517	1155598	80313004	81922428	257493	953592
69	introduced	16003	470331	1211060	84276702	85974096	270560	953424
69	native	15354	440030	1159513	80387321	82002218	257491	953424
6	introduced	15887	465506	1202559	84256891	85940843	272323	959712
6	native	15253	435467	1151486	80358023	81960229	259208	959712
70	introduced	16014	469549	1209126	84211489	85906178	269820	950928
70	native	15359	439202	1157733	80319670	81931964	256951	950928
71	introduced	15959	469534	1208021	84170156	85863670	271160	955092
71	native	15310	439241	1156605	80286065	81897221	258009	955092
72	introduced	15981	469778	1209014	84659166	86353939	272529	960420
72	native	15310	439381	1157544	80746368	82358603	259367	960420
73	introduced	16008	469885	1208244	84294017	85988154	270792	954384
73	native	15336	439523	1156862	80394563	82006284	257887	954384
74	introduced	15998	470014	1208867	84206127	85901006	271066	954444
74	native	15341	439499	1156989	80293368	81905197	257687	954444
75	introduced	16011	469112	1207816	84257448	85950387	271348	955716
75	native	15343	438913	1156096	80361366	81971718	258197	955716
76	introduced	15904	467779	1202714	84201438	85887835	271882	958344
76	native	15225	437538	1151556	80313872	81918191	258722	958344
77	introduced	15984	468714	1204620	84191660	85880978	271076	954936
77	native	15326	438314	1152713	80295643	81901996	257911	954936
78	introduced	15969	468994	1209889	84897007	86591859	273538	963780
78	native	15312	438579	1158272	80969862	82582025	260325	963780
79	introduced	15971	468900	1207414	84234216	85926501	270276	952704
79	native	15284	438564	1155929	80339930	81949707	257202	952704
7	introduced	15874	467708	1205074	84263061	85951717	271288	955824
7	native	15196	437440	1153420	80372155	81978211	258170	955824
80	introduced	15988	468587	1207157	84205022	85896754	270852	954492
80	native	15330	438403	1155887	80313440	81923060	257717	954492
81	introduced	15947	468687	1209043	84269517	85963194	270363	952632
81	native	15290	438460	1157561	80375326	81986637	257326	952632
82	introduced	15973	470630	1211190	84202382	85900175	269951	951468
82	native	15309	440258	1159434	80310504	81925505	256994	951468
83	introduced	16016	470621	1212374	84680972	86379983	272396	960060
83	native	15359	440104	1160518	80767468	82383449	259244	960060
84	introduced	15858	463301	1196898	84278384	85954441	271698	957204
84	native	15198	433117	1145702	80369867	81963884	258612	957204
85	introduced	15943	468269	1207852	84223752	85915816	271111	955392
85	native	15285	438058	1156363	80329452	81939158	257984	955392
86	introduced	16005	469998	1209969	84210236	85906208	271413	955956
86	native	15330	439709	1158565	80315341	81928945	258228	955956
87	introduced	15986	468227	1205204	84222313	85911730	271397	956364
87	native	15322	438048	1153789	80329505	81936664	258201	956364
88	introduced	16049	472110	1215919	84932851	86636929	273230	962580
88	native	15379	441586	1164075	81004199	82625239	260011	962580
89	introduced	15929	468140	1203367	84383028	86070464	271829	958068
89	native	15252	438019	1152022	80480711	82086004	258626	958068
8	introduced	15891	469400	1208112	84224349	85917752	270637	954012
8	native	15238	439027	1156709	80337864	81948838	257480	954012
90	introduced	15825	466132	1197333	84173552	85852842	271837	958068
90	native	15169	436209	1146697	80286539	81884614	258809	958068
91	introduced	15445	454181	1185646	84246617	85901889	272230	959508
91	native	14790	423827	1134785	80348988	81922390	259037	959508
92	introduced	15551	459568	1183963	84342647	86001729	272183	958872
92	native	14923	429689	1132558	80434351	82011521	258879	958872
93	introduced	15930	467400	1202130	84252416	85937876	271823	957696
93	native	15254	437134	1150621	80355656	81958665	258605	957696
94	introduced	15881	467631	1203045	84197430	85883987	271249	956064
94	native	15227	437277	1151987	80308915	81913406	258200	956064
95	introduced	15764	464391	1195995	84133431	85809581	271059	955416
95	native	15132	434249	1145237	80245372	81839990	257955	955416
96	introduced	15923	467921	1199914	84269247	85953005	271694	957072
96	native	15260	437423	1148516	80371188	81972387	258499	957072
97	introduced	15612	466020	1195931	84108835	85786398	271748	956928
97	native	14932	435693	1144666	80202813	81798104	258642	956928
98	introduced	15880	467400	1202602	84119513	85805395	270449	952992
98	native	15218	437176	1151298	80226403	81830095	257296	952992
99	introduced	15950	468997	1206409	84209391	85900747	270543	953136
99	native	15278	438622	1154901	80314958	81923759	257506	953136
9	introduced	15927	469311	1205911	84203413	85894562	270499	952944
9	native	15265	439015	1154588	80308071	81916939	257431	952944
