Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	16053	55600	472735	1592140	1224117	3788026	85468418	270763076	37464467	119805124
100	native	15375	56218	442203	1604180	1172089	3822480	81521489	272700960	35694162	120718716
101	introduced	15834	54954	465548	1568258	1201049	3719372	84733961	268579110	37253706	119172280
101	native	15152	55500	435083	1580014	1149852	3752368	80813277	270502812	35489332	120085996
102	introduced	15831	54718	464066	1564078	1197447	3707106	84615210	268121146	37226918	119052948
102	native	15141	55316	434188	1575632	1146941	3740970	80697929	270042234	35463244	119962904
103	introduced	15965	55260	469473	1581602	1215007	3759768	84766847	268592006	37241503	119114594
103	native	15265	55874	439007	1593548	1163284	3794142	80846000	270523746	35478070	120027092
104	introduced	16078	55702	473291	1594348	1225365	3792666	85575453	271114938	37511429	119958606
104	native	15409	56324	442650	1606362	1173164	3827148	81618075	273056918	35736863	120874588
105	introduced	15897	55018	465798	1570992	1206628	3735338	84701012	268408910	37182372	118934440
105	native	15198	55640	435499	1582676	1155016	3769234	80778284	270330622	35420345	119842506
106	introduced	15976	55424	470951	1586760	1217943	3770884	84673703	268242598	36970656	118215580
106	native	15303	56034	440465	1598670	1166084	3805124	80748107	270153806	35218821	119111648
107	introduced	15714	54594	466100	1571498	1206201	3732950	84768103	268586356	37249054	119131778
107	native	15048	55204	435996	1583228	1154461	3766300	80836074	270510350	35483826	120041370
108	introduced	16075	55702	473444	1594832	1225616	3793450	85591524	271161438	37519695	119983488
108	native	15403	56324	442809	1606852	1173418	3827922	81634149	273103274	35744867	120899534
109	introduced	15818	54730	463924	1564050	1192327	3697596	84869077	268999664	37323491	119374732
109	native	15157	55342	433832	1575590	1141575	3730896	80942673	270922356	35556851	120288338
10	introduced	15977	55400	470077	1584580	1216265	3765886	84959010	269225844	37294015	119297490
10	native	15303	56020	439594	1596542	1164420	3800070	81023963	271149302	35526141	120205004
11	introduced	15876	55038	468609	1579022	1212195	3752016	84841341	268805398	37232878	119077690
11	native	15207	55656	438350	1590758	1160612	3785946	80916402	270724282	35469994	119984808
12	introduced	15805	55036	467932	1578894	1213848	3758230	84691112	268312900	37123254	118718526
12	native	15165	55668	437919	1590756	1162558	3792358	80777235	270231882	35368194	119622648
13	introduced	15829	54810	468004	1576274	1210019	3742818	84753551	268435862	37227453	119022194
13	native	15158	55444	437859	1588324	1158579	3777006	80837386	270359370	35468841	119931114
14	introduced	16019	55462	471502	1587478	1219042	3772718	84763177	268489530	37146407	118755078
14	native	15330	56066	441013	1599400	1167199	3807006	80855377	270407122	35395642	119660954
15	introduced	15905	55170	469073	1579900	1214366	3757282	84685665	268251320	37117750	118686094
15	native	15226	55786	438814	1591754	1162469	3791454	80768454	270179188	35361271	119595500
16	introduced	15933	55094	469995	1582372	1215227	3760730	84737958	268372434	37208039	118963388
16	native	15292	55692	439482	1594254	1163774	3794836	80826959	270296818	35451291	119873360
17	introduced	16030	55500	471991	1589118	1220155	3775344	84689050	268215814	37050907	118444250
17	native	15361	56118	441542	1601116	1168206	3809472	80784253	270132442	35303470	119347772
18	introduced	15682	54348	462857	1559232	1204419	3727228	84744483	268488476	37202404	118974894
18	native	14995	54924	432369	1571180	1152379	3761266	80812824	270418456	35439228	119883764
19	introduced	15587	54116	453586	1527958	1201444	3717838	85146678	269716234	37395272	119577002
19	native	14972	54748	424070	1539498	1150263	3751604	81205875	271657640	35624283	120492246
1	introduced	15938	55202	468672	1580300	1212939	3755466	84774744	268701430	37119779	118760830
1	native	15289	55814	438324	1592162	1161134	3789538	80853786	270629910	35364905	119670258
20	introduced	16026	55498	469681	1582490	1218347	3771226	84899410	269003778	37179828	118921558
20	native	15341	56114	439166	1594292	1166334	3805434	80973043	270936236	35420762	119831722
21	introduced	16038	55572	471315	1587582	1220198	3775694	84686764	268272984	36947416	118167026
21	native	15367	56176	441038	1599560	1168256	3810028	80778124	270197260	35204193	119070192
22	introduced	16019	55508	470857	1586102	1217134	3768344	84698827	268352406	37062857	118539998
22	native	15364	56122	440585	1598082	1165398	3802540	80791233	270264384	35312727	119438128
23	introduced	16022	55422	470786	1585150	1219620	3773752	84768057	268533716	37055653	118494980
23	native	15350	56028	440472	1597132	1167657	3808132	80860247	270449348	35308031	119396140
24	introduced	15970	55284	469783	1581844	1215673	3762448	84766415	268531636	37199892	118969262
24	native	15282	55888	439576	1593768	1163916	3796570	80849298	270450428	35443687	119878380
25	introduced	15956	55278	469219	1580284	1214453	3758924	84702563	268346144	37106556	118676654
25	native	15296	55910	438861	1592222	1162715	3793072	80789051	270266392	35352344	119583110
26	introduced	16036	55510	469877	1583100	1216509	3765448	84714704	268351090	37202691	118963876
26	native	15368	56136	439618	1594974	1165007	3799654	80800811	270272768	35442909	119873414
27	introduced	15909	55158	470395	1583450	1214740	3759792	84670473	268178628	37127276	118712422
27	native	15238	55786	439992	1595512	1163088	3794132	80751283	270107394	35369630	119622228
28	introduced	15891	55044	470254	1583750	1214590	3759926	85051444	269476184	37310526	119318966
