Jackknife_ID Sum_fab_HIGH	Sum_fba_HIGH	Sum_fab_MODERATE	Sum_fba_MODERATE	Sum_fab_LOW	Sum_fba_LOW	Sum_fab_MODIFIER	Sum_fba_MODIFIER	Sum_fab_INTERGENIC	Sum_fba_INTERGENIC
100	431.526858	381.771482	13519.388291	11439.614139	38838.964199	33867.535935	2367740.959487	2051268.100293	1289261.219955	1115259.492106
101	425.640431	375.959298	13350.461981	11283.984456	38158.115878	33283.397479	2350356.262559	2036133.451776	1281086.364588	1108018.967113
102	426.235023	376.264748	13272.429292	11242.090349	37967.072652	33139.560477	2344783.852359	2030812.029582	1278677.548770	1105872.788670
103	430.193145	379.650649	13438.377520	11364.082011	38541.972321	33599.872429	2349785.068558	2035329.097585	1282218.636610	1108945.950661
104	431.725595	382.085371	13535.562793	11450.892879	38881.801643	33900.486383	2371103.699430	2053864.850787	1291087.707939	1116687.238585
105	426.351075	375.714134	13336.162541	11278.485990	38292.933777	33381.143282	2348260.507302	2033738.331404	1279460.337849	1106466.431699
106	429.095955	379.851564	13461.699560	11388.391948	38628.675486	33685.188509	2345147.846841	2031677.737393	1274031.563870	1102193.616955
107	423.174648	373.654626	13328.980569	11289.549202	38254.441944	33346.583016	2349071.887553	2034370.078358	1280344.723749	1107295.155712
108	431.657413	381.835371	13539.289939	11454.865336	38888.898511	33906.222772	2371414.196919	2054182.980726	1291305.378048	1116900.323557
109	424.509012	376.936466	13299.529436	11244.784721	37987.856585	33113.072927	2353772.157377	2038921.775834	1282916.045366	1109613.046088
10	428.653044	380.209033	13437.258944	11374.001621	38573.605681	33627.899602	2353843.616124	2038977.159779	1283471.798964	1110157.418157
11	427.521944	378.551165	13402.883882	11340.920678	38465.641828	33533.914339	2350865.909338	2036238.015024	1280238.596262	1107230.404127
12	425.021460	376.103585	13375.657574	11332.057484	38492.328073	33588.276865	2345942.345039	2032599.665065	1277348.837398	1105113.693820
13	424.753467	374.510087	13376.914495	11316.594491	38358.280063	33442.636015	2346842.904843	2032951.685294	1278941.124677	1106244.372152
14	430.247294	380.262229	13477.688842	11404.141114	38667.059076	33714.283445	2347327.980338	2033588.573506	1278551.885350	1105968.164445
15	426.487243	376.755857	13400.246951	11342.198340	38515.749666	33575.661571	2346058.138622	2031548.501883	1276786.595696	1104042.626451
16	426.625772	379.275068	13429.443317	11357.769652	38530.887407	33611.802720	2346578.383264	2032858.990104	1279887.391614	1107057.179024
17	430.800216	381.192568	13496.401033	11420.877693	38698.613921	33743.374076	2345849.692165	2032227.799600	1276558.040969	1104169.930526
18	421.813494	372.389450	13285.671336	11227.475232	38327.664411	33369.735028	2350484.462797	2035359.628998	1280281.651887	1107062.404485
19	423.267346	374.960960	13099.312196	11056.865984	38286.039103	33371.735658	2362803.495682	2046044.505282	1286939.764915	1112714.432809
1	427.742211	378.917897	13404.347170	11341.575471	38476.898335	33556.866625	2349763.964266	2035464.408335	1278703.079983	1105997.046831
