Jackknife	Sample	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles
1	SH2514	2998	123724	433366	22463290	59993078
1	NF24	2971	124856	436466	22517242	59336016
1	WB13	1313	59080	195469	9739453	61016704
1	CW2212	1765	80756	265645	13209608	58896942
1	SH2515	3026	124030	435024	22493439	59842220
1	VR14	1665	77194	250718	12486134	59288136
1	DN26	1415	63470	206109	10280155	59582698
1	BU1031	1913	82807	271811	13593895	57490968
1	VT27	3008	125346	435535	22565800	60374938
1	CW2214	2050	90094	299416	15173444	60904246
1	BU04	1956	86183	283897	14087829	58891122
1	GC30	2736	113363	398500	20386608	57509930
1	DL2524	2832	123977	426595	21937578	57694030
1	VT29	2715	118469	413289	21155563	56710344
1	DL23523	3061	126766	440105	22746293	59681906
1	PZ29	1533	68546	223083	11109292	60935044
1	LI04	858	37319	126941	6376860	60214232
1	WE2430	1552	68323	226479	11339258	61030716
1	WS04	2997	127380	441657	22802927	60122860
1	WE2431	1545	68373	225596	11303061	60582550
1	WS05	3023	126905	436768	22650555	59540456
1	BB10	2788	120181	420350	21300956	56838788
1	VG21	2897	119952	421247	21692930	58848740
1	CE29	3001	123736	435912	22570832	61093790
1	CA14	2739	112715	399314	20226651	57233524
1	FC11	895	39753	131061	6610879	61094334
1	NF30	2904	121982	428444	21979637	58022910
1	MM27	2809	113707	403606	20768321	58720326
1	MI21	1438	64585	210585	10740300	61408932
1	FU14	2664	113434	396171	20376180	58486144
1	BB13	2801	117493	413027	21070111	56304806
1	WB20	1148	53044	176944	8754304	60316870
2	SH2514	3029	124595	435202	22446939	59958836
2	NF24	3010	125687	438565	22508524	59306678
2	WB13	1315	59230	195786	9729843	60986042
2	CW2212	1794	81083	266330	13207946	58866572
2	SH2515	3076	124758	436480	22477673	59806556
2	VR14	1676	77418	251256	12478755	59255238
2	DN26	1422	63651	206309	10262996	59552550
2	BU1031	1927	83426	272871	13597615	57459020
2	VT27	3033	126223	437100	22552291	60339520
2	CW2214	2076	90625	300296	15172382	60875114
2	BU04	1991	86825	284955	14090602	58859250
2	GC30	2758	114193	400194	20374921	57479972
2	DL2524	2866	124789	428138	21922513	57662320
2	VT29	2748	119261	414484	21139352	56680000
2	DL23523	3071	127681	441719	22731638	59651352
2	PZ29	1556	68849	223580	11104469	60904820
2	LI04	865	37446	127377	6379087	60186058
2	WE2430	1568	68468	226949	11332855	60999980
2	WS04	3031	128270	443219	22794890	60086784
2	WE2431	1567	68772	226659	11315202	60552958
2	WS05	3055	127767	438287	22637351	59503466
2	BB10	2834	121051	422127	21282151	56806502
2	CA14	2765	113442	400722	20213514	57200386
2	VG21	2939	120724	422946	21677984	58816624
2	CE29	3029	124590	437755	22556944	61062670
2	FC11	916	39859	131449	6610243	61066046
2	MM27	2825	114537	405098	20755399	58686748
2	NF30	2936	123048	430643	21972648	57993382
2	MI21	1458	64821	210909	10732584	61380722
2	FU14	2702	114147	397725	20362788	58451338
2	BB13	2838	118259	414586	21047341	56270904
2	WB20	1165	53207	177263	8746461	60286298
3	SH2514	3017	124564	435272	22383038	59803922
3	NF24	2998	125668	438905	22446218	59149906
3	WB13	1315	59214	196087	9714254	60829382
3	CW2212	1783	81067	266609	13179891	58715786
3	SH2515	3064	124789	436973	22414910	59649208
3	VR14	1669	77426	251561	12455530	59105126
3	DN26	1412	63584	206470	10241859	59398854
3	BU1031	1913	83306	273106	13571305	57313128
3	VT27	3017	126166	437486	22482302	60180984
3	CW2214	2062	90475	300464	15124387	60716668
3	BU04	1976	86690	285254	14064479	58709584
3	GC30	2750	114299	400558	20320120	57327008
3	DL2524	2848	124880	428773	21866680	57514088
3	VT29	2738	119190	414892	21073536	56527696
3	DL23523	3068	127597	442152	22661387	59501048
