Sample	HIGH	MODERATE	LOW	MODIFIER	Total
WB13	1228	54262	167938	8463836	8687264
SH2514	2225	89433	305502	16086084	16483244
NF24	2087	84203	283900	14892734	15262924
CW2212	1327	57081	177874	8876533	9112815
DN26	1114	50351	156379	7821439	8029283
VR14	1264	55775	172524	8677900	8907463
SH2515	2194	87390	296768	15655742	16042094
BU1031	1308	56181	173037	8627678	8858204
CW2214	1662	70183	224716	11457060	11753621
BU04	1327	57985	179345	8907513	9146170
VT27	2204	87175	294219	15404401	15787999
DL2524	2142	89495	297674	15501425	15890736
GC30	2151	84068	296072	15280202	15662493
VT29	1973	82230	277520	14402455	14764178
DL23523	2279	90580	304495	15936345	16333699
PZ29	1256	54844	170320	8542944	8769364
LI04	779	33802	105977	5378070	5518628
WE2430	1277	53539	165785	8328677	8549278
WS04	2267	90040	305545	15960057	16357909
WE2431	1254	53662	166257	8422213	8643386
WS05	2242	88333	296556	15554397	15941528
BB10	2170	86844	297471	15330338	15716823
FC11	792	34546	105818	5366796	5507952
VG21	2214	86193	298771	15606531	15993709
CA14	2155	84458	298683	15276725	15662021
CE29	2342	90971	314742	16525154	16933209
NF30	2059	82415	281044	14657708	15023226
MI21	1188	52257	162132	8314411	8529988
MM27	2125	83327	297520	15469504	15852476
WB20	1053	47129	145472	7216898	7410552
FU14	2118	82659	290687	15076527	15451991
BB13	2139	83044	283563	14651998	15020744
