Sample	Total_Alternates	Total_Variants
SH2514	6353650	8378512
NF24	6374026	8285106
WB13	2825339	8544637
CW2212	3774661	8228767
SH2515	6362177	8353439
VR14	3621691	8291075
DN26	2967953	8325636
BU1031	3917201	8045978
VT27	6396724	8426323
CW2214	4361036	8518574
BU04	4058389	8239644
GC30	5758348	8026502
DL2524	6212880	8049355
VT29	5988910	7900238
DL23523	6446288	8339983
PZ29	3212224	8523479
LI04	1857369	8424422
WE2430	3262056	8542113
WS04	6454480	8391202
WE2431	3276284	8476586
WS05	6403214	8307144
BB10	6035192	7941117
CA14	5705216	7978043
VG21	6137109	8218185
CE29	6399583	8544179
FC11	1917707	8549629
MM27	5874601	8197747
NF30	6223723	8103372
MI21	3117993	8597035
FU14	5762926	8171980
BB13	5970110	7868931
WB20	2551232	8441370
