Jackknife	Sample	MODIFIER	Total_Alleles
1	SH2514	71834	93924
1	NF24	71756	92820
1	WB13	31502	95631
1	CW2212	42172	92269
1	SH2515	72021	93703
1	VR14	40359	92966
1	DN26	32772	93308
1	BU1031	43506	90008
1	VT27	72086	94323
1	CW2214	48692	95425
1	BU04	45091	92263
1	GC30	65423	90068
1	DL2524	70298	90261
1	VT29	67797	88712
1	DL23523	72867	93384
1	PZ29	35766	95406
1	LI04	20680	94285
1	WE2430	36112	95710
1	WS04	73120	94136
1	WE2431	36432	94941
1	WS05	72541	93089
1	BB10	67786	88930
1	VG21	69501	92059
1	CE29	72267	95655
1	CA14	64561	89492
1	FC11	21355	95747
1	NF30	70010	90726
1	MM27	66665	91941
1	MI21	34538	96244
1	FU14	65206	91444
1	BB13	67437	88135
1	WB20	28294	94501
2	SH2514	71626	93727
2	NF24	71575	92613
2	WB13	31433	95448
2	CW2212	42136	92082
2	SH2515	71805	93488
2	VR14	40282	92772
2	DN26	32674	93094
2	BU1031	43507	89813
2	VT27	71924	94126
2	CW2214	48660	95231
2	BU04	45058	92069
2	GC30	65247	89880
2	DL2524	70126	90069
2	VT29	67599	88523
2	DL23523	72735	93197
2	PZ29	35712	95203
2	LI04	20637	94093
2	WE2430	36089	95514
2	WS04	72926	93932
2	WE2431	36413	94758
2	WS05	72317	92882
2	BB10	67608	88724
2	VG21	69339	91871
2	CE29	72137	95468
2	CA14	64396	89293
2	FC11	21321	95553
2	MM27	66534	91736
2	NF30	69802	90523
2	MI21	34491	96043
2	FU14	65038	91255
2	BB13	67219	87954
2	WB20	28209	94301
3	SH2514	71648	93773
3	NF24	71606	92657
3	WB13	31453	95492
3	CW2212	42118	92135
3	SH2515	71847	93550
3	VR14	40290	92838
3	DN26	32693	93137
3	BU1031	43494	89867
3	VT27	71903	94167
3	CW2214	48579	95278
3	BU04	45088	92128
3	GC30	65278	89925
3	DL2524	70200	90134
3	VT29	67642	88586
3	DL23523	72702	93256
3	PZ29	35739	95263
3	LI04	20649	94152
3	WE2430	36169	95569
3	WS04	72975	93986
3	WE2431	36384	94805
3	WS05	72377	92948
3	BB10	67729	88813
3	VG21	69342	91908
3	CE29	72132	95519
3	CA14	64422	89341
3	FC11	21343	95613
3	MM27	66526	91779
3	NF30	69916	90591
3	MI21	34516	96097
3	FU14	65049	91300
3	BB13	67312	88011
3	WB20	28270	94347
4	SH2514	71645	93773
4	NF24	71597	92673
4	WB13	31403	95497
4	CW2212	42120	92160
4	SH2515	71839	93557
4	VR14	40268	92861
4	DN26	32612	93158
4	BU1031	43496	89892
4	VT27	71937	94176
4	CW2214	48407	95287
4	BU04	45087	92157
4	GC30	65263	89915
4	DL2524	70162	90127
4	VT29	67626	88566
4	DL23523	72758	93268
4	PZ29	35712	95263
4	LI04	20662	94170
4	WE2430	36126	95579
4	WS04	72973	93991
4	WE2431	36363	94819
4	WS05	72366	92944
4	BB10	67670	88790
4	VG21	69353	91915
4	CE29	72135	95519
4	CA14	64428	89344
4	FC11	21278	95611
4	MM27	66561	91797
4	NF30	69852	90570
4	MI21	34462	96105
4	FU14	65089	91314
4	BB13	67329	88016
4	WB20	28249	94358
5	SH2514	71700	93776
5	NF24	71632	92656
5	WB13	31400	95502
5	CW2212	42105	92150
5	SH2515	71873	93544
5	VR14	40295	92850
5	DN26	32639	93158
5	BU1031	43495	89884
5	VT27	71918	94168
5	CW2214	48433	95278
5	BU04	45084	92144
5	GC30	65295	89922
5	DL2524	70206	90118
5	VT29	67649	88558
5	DL23523	72784	93247
5	PZ29	35703	95270
5	LI04	20629	94153
5	WE2430	36115	95576
5	WS04	72997	93971
5	WE2431	36369	94819
5	WS05	72426	92930
5	BB10	67717	88777
5	VG21	69382	91901
5	CE29	72163	95511
5	CA14	64429	89343
5	FC11	21341	95609
5	MM27	66544	91770
5	NF30	69880	90574
5	MI21	34465	96101
5	FU14	65063	91302
5	BB13	67346	88007
5	WB20	28231	94369
6	SH2514	71721	93794
6	NF24	71642	92687
6	WB13	31468	95523
6	CW2212	42160	92161
6	SH2515	71896	93571
6	VR14	40317	92868
6	DN26	32691	93171
6	BU1031	43549	89899
6	VT27	71966	94200
6	CW2214	48620	95311
6	BU04	45119	92147
6	GC30	65340	89936
6	DL2524	70204	90155
6	VT29	67690	88595
6	DL23523	72811	93265
6	PZ29	35771	95285
6	LI04	20658	94188
6	WE2430	36124	95606
6	WS04	72983	94009
6	WE2431	36411	94830
6	WS05	72397	92974
6	BB10	67746	88821
6	VG21	69347	91928
6	CE29	72198	95555
6	CA14	64484	89384
6	FC11	21338	95634
6	MM27	66596	91812
6	NF30	69910	90617
6	MI21	34504	96130
6	FU14	65145	91329
6	BB13	67340	88042
6	WB20	28272	94395
7	SH2514	71580	93726
7	NF24	71513	92609
7	WB13	31342	95453
7	CW2212	42070	92071
7	SH2515	71808	93512
7	VR14	40218	92765
7	DN26	32653	93097
7	BU1031	43444	89825
7	VT27	71869	94114
7	CW2214	48592	95233
7	BU04	45012	92074
7	GC30	65185	89870
7	DL2524	70074	90077
7	VT29	67595	88518
7	DL23523	72688	93190
7	PZ29	35646	95209
7	LI04	20626	94108
7	WE2430	36029	95518
7	WS04	72866	93919
7	WE2431	36319	94751
7	WS05	72267	92871
7	BB10	67657	88740
7	VG21	69330	91851
7	CE29	72064	95462
7	CA14	64360	89291
7	FC11	21267	95572
7	MM27	66500	91733
7	NF30	69820	90542
7	MI21	34440	96045
7	FU14	64989	91254
7	BB13	67282	87961
7	WB20	28181	94305
8	SH2514	71669	93753
8	NF24	71530	92646
8	WB13	31392	95471
8	CW2212	42126	92105
8	SH2515	71833	93514
8	VR14	40284	92812
8	DN26	32701	93119
8	BU1031	43452	89837
8	VT27	71849	94151
8	CW2214	48657	95261
8	BU04	45041	92105
8	GC30	65295	89920
8	DL2524	70133	90097
8	VT29	67620	88562
8	DL23523	72711	93214
8	PZ29	35688	95231
8	LI04	20637	94131
8	WE2430	36033	95544
8	WS04	72930	93962
8	WE2431	36375	94791
8	WS05	72322	92913
8	BB10	67703	88764
8	VG21	69332	91873
8	CE29	72136	95494
8	CA14	64434	89345
8	FC11	21333	95576
8	MM27	66561	91769
8	NF30	69806	90553
8	MI21	34469	96074
8	FU14	65102	91283
8	BB13	67303	88008
8	WB20	28227	94331
9	SH2514	71685	93785
9	NF24	71585	92663
9	WB13	31377	95497
9	CW2212	42108	92149
9	SH2515	71883	93561
9	VR14	40279	92845
9	DN26	32708	93152
9	BU1031	43470	89873
9	VT27	71950	94212
9	CW2214	48683	95294
9	BU04	45044	92129
9	GC30	65288	89938
9	DL2524	70195	90138
9	VT29	67694	88622
9	DL23523	72773	93260
9	PZ29	35685	95268
9	LI04	20639	94154
9	WE2430	36028	95579
9	WS04	72972	93987
9	WE2431	36348	94802
9	WS05	72398	92948
9	BB10	67692	88786
9	VG21	69386	91910
9	CE29	72182	95525
9	CA14	64465	89376
9	FC11	21291	95610
9	MM27	66564	91808
9	NF30	69861	90574
9	MI21	34438	96107
9	FU14	65086	91311
9	BB13	67311	88001
9	WB20	28207	94373
10	SH2514	71861	94023
10	NF24	71760	92890
10	WB13	31515	95739
10	CW2212	42182	92379
10	SH2515	72040	93791
10	VR14	40370	93076
10	DN26	32720	93388
10	BU1031	43561	90111
10	VT27	72109	94416
10	CW2214	48681	95534
10	BU04	45139	92363
10	GC30	65475	90156
10	DL2524	70393	90352
10	VT29	67828	88814
10	DL23523	72951	93480
10	PZ29	35768	95502
10	LI04	20684	94391
10	WE2430	36126	95815
10	WS04	73190	94222
10	WE2431	36412	95044
10	WS05	72551	93178
10	BB10	67888	89016
10	VG21	69520	92143
10	CE29	72353	95771
10	CA14	64658	89581
10	FC11	21329	95845
10	MM27	66751	92025
10	NF30	70053	90812
10	MI21	34520	96346
10	FU14	65280	91549
10	BB13	67504	88242
10	WB20	28268	94593
11	SH2514	71853	93819
11	NF24	71738	92706
11	WB13	31384	95530
11	CW2212	42065	92181
11	SH2515	72011	93585
11	VR14	40247	92884
11	DN26	32657	93183
11	BU1031	43464	89914
11	VT27	72105	94220
11	CW2214	48612	95325
11	BU04	45002	92159
11	GC30	65419	89962
11	DL2524	70347	90167
11	VT29	67789	88607
11	DL23523	72930	93291
11	PZ29	35680	95307
11	LI04	20640	94189
11	WE2430	36029	95607
11	WS04	73135	94028
11	WE2431	36340	94836
11	WS05	72543	92975
11	BB10	67841	88798
11	VG21	69531	91946
11	CE29	72326	95559
11	CA14	64591	89381
11	FC11	21288	95644
11	MM27	66694	91809
11	NF30	70020	90604
11	MI21	34418	96140
11	FU14	65197	91339
11	BB13	67461	88034
11	WB20	28225	94403
12	SH2514	71669	93621
12	NF24	71560	92497
12	WB13	31344	95333
12	CW2212	42012	91994
12	SH2515	71852	93409
12	VR14	40221	92697
12	DN26	32665	93000
12	BU1031	43352	89734
12	VT27	71928	94051
12	CW2214	48501	95125
12	BU04	44936	91989
12	GC30	65305	89777
12	DL2524	70187	89978
12	VT29	67669	88436
12	DL23523	72741	93092
12	PZ29	35633	95106
12	LI04	20615	94003
12	WE2430	35983	95418
12	WS04	72968	93830
12	WE2431	36272	94651
12	WS05	72358	92793
12	BB10	67698	88621
12	VG21	69389	91757
12	CE29	72127	95363
12	CA14	64409	89184
12	FC11	21273	95453
12	MM27	66529	91626
12	NF30	69836	90420
12	MI21	34372	95936
12	FU14	65076	91141
12	BB13	67301	87876
12	WB20	28191	94203
13	SH2514	71730	93679
13	NF24	71661	92559
13	WB13	31352	95399
13	CW2212	42014	92033
13	SH2515	71903	93455
13	VR14	40192	92736
13	DN26	32618	93050
13	BU1031	43409	89779
13	VT27	71998	94092
13	CW2214	48593	95188
13	BU04	44981	92044
13	GC30	65340	89835
13	DL2524	70214	90037
13	VT29	67718	88479
13	DL23523	72785	93160
13	PZ29	35646	95171
13	LI04	20601	94056
13	WE2430	36031	95473
13	WS04	72999	93887
13	WE2431	36239	94710
13	WS05	72403	92845
13	BB10	67774	88682
13	VG21	69396	91817
13	CE29	72214	95443
13	CA14	64512	89270
13	FC11	21236	95517
13	MM27	66614	91698
13	NF30	69943	90505
13	MI21	34399	96005
13	FU14	65175	91210
13	BB13	67334	87912
13	WB20	28156	94259
14	SH2514	71630	93614
14	NF24	71619	92504
14	WB13	31331	95338
14	CW2212	41988	91978
14	SH2515	71798	93393
14	VR14	40188	92683
14	DN26	32611	92985
14	BU1031	43402	89744
14	VT27	71902	94013
14	CW2214	48559	95125
14	BU04	44963	91979
14	GC30	65286	89749
14	DL2524	70191	89962
14	VT29	67628	88409
14	DL23523	72791	93103
14	PZ29	35571	95099
14	LI04	20603	94008
14	WE2430	36004	95408
14	WS04	72988	93832
14	WE2431	36213	94637
14	WS05	72381	92784
14	BB10	67678	88636
14	VG21	69351	91757
14	CE29	72178	95376
14	CA14	64430	89194
14	FC11	21280	95459
14	MM27	66560	91637
14	NF30	69887	90437
14	MI21	34385	95941
14	FU14	65067	91139
14	BB13	67319	87856
14	WB20	28179	94199
15	SH2514	71593	93581
15	NF24	71534	92468
15	WB13	31243	95310
15	CW2212	41938	91960
15	SH2515	71793	93353
15	VR14	40071	92656
15	DN26	32674	92966
15	BU1031	43309	89705
15	VT27	71880	93982
15	CW2214	48480	95101
15	BU04	44868	91954
15	GC30	65198	89741
15	DL2524	70109	89928
15	VT29	67591	88387
15	DL23523	72661	93047
15	PZ29	35469	95083
15	LI04	20573	93967
15	WE2430	35920	95375
15	WS04	72915	93787
15	WE2431	36159	94625
15	WS05	72322	92744
15	BB10	67613	88599
15	VG21	69254	91708
15	CE29	72056	95331
15	CA14	64384	89149
15	FC11	21230	95423
15	MM27	66466	91594
15	NF30	69777	90382
15	MI21	34273	95911
15	FU14	64990	91106
15	BB13	67210	87812
15	WB20	28133	94173
16	SH2514	71677	93690
16	NF24	71632	92585
16	WB13	31328	95405
16	CW2212	42014	92042
16	SH2515	71838	93463
16	VR14	40203	92752
16	DN26	32697	93056
16	BU1031	43354	89786
16	VT27	71950	94087
16	CW2214	48533	95192
16	BU04	44944	92050
16	GC30	65292	89830
16	DL2524	70201	90027
16	VT29	67682	88491
16	DL23523	72785	93167
16	PZ29	35611	95161
16	LI04	20614	94060
16	WE2430	35955	95481
16	WS04	72984	93894
16	WE2431	36283	94724
16	WS05	72394	92841
16	BB10	67687	88684
16	VG21	69340	91811
16	CE29	72216	95437
16	CA14	64440	89248
16	FC11	21276	95505
16	MM27	66579	91695
16	NF30	69892	90486
16	MI21	34362	96002
16	FU14	65096	91204
16	BB13	67295	87907
16	WB20	28136	94256
17	SH2514	71711	93694
17	NF24	71640	92569
17	WB13	31317	95407
17	CW2212	42040	92055
17	SH2515	71941	93462
17	VR14	40197	92759
17	DN26	32563	93053
17	BU1031	43348	89788
17	VT27	72023	94082
17	CW2214	48555	95190
17	BU04	44945	92047
17	GC30	65368	89845
17	DL2524	70227	90029
17	VT29	67724	88493
17	DL23523	72803	93163
17	PZ29	35606	95174
17	LI04	20579	94064
17	WE2430	35957	95486
17	WS04	73023	93901
17	WE2431	36238	94722
17	WS05	72430	92844
17	BB10	67750	88700
17	VG21	69423	91833
17	CE29	72269	95436
17	CA14	64488	89270
17	FC11	21238	95514
17	MM27	66615	91684
17	NF30	69934	90491
17	MI21	34367	96013
17	FU14	65131	91204
17	BB13	67359	87954
17	WB20	28131	94271
18	SH2514	71758	93781
18	NF24	71676	92659
18	WB13	31362	95484
